metric,value,description
phase272_interpretation_complete,1,Phase272 fixed-capital capacity-return interpretation completed
phase272_selected_next_route,P272_FOCUSED_CAPITAL_AWARE_CANDIDATE_FOLLOWTHROUGH_SEARCH,Selected next route
phase272_phase271_scenario_rows,4320,Phase271 scenario rows interpreted
phase272_phase271_scope_rows,18,Phase271 scheduling scopes interpreted
phase272_phase271_observed_trade_dates,1,Observed dates remain one-date diagnostic
phase272_ranked_capital_candidate_rows,17,Per-candidate capital-aware rows ranked
phase272_followthrough_priority_candidate_rows,2,Candidates with 2x and multi-profile one-date diagnostic support
phase272_pooled_above12_scenario_rows,0,Pooled all-ranked lead above-12 diagnostic rows
phase272_best_candidate_id,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,Best follow-through candidate
phase272_best_scenario_id,P271_CAND003_CAP100000_NOT100000_CONC1_COST100,Best scenario for best candidate
phase272_best_cost_profile,cost100,Best cost profile
phase272_best_realized_net_pnl_inr,545.516320875022,Best realized net P&L
phase272_best_mechanical_one_date_annualized_portfolio_return_pct,137.4701128605055,Best one-date annualized diagnostic
phase272_best_cost200_above12_scenario_rows,3,Best candidate 2x-cost above-12 rows
phase272_portfolio_claim_allowed,0,Robust portfolio claim remains closed
phase272_strategy_replay_allowed,0,No strategy replay unlocked
phase272_strategy_promotion_allowed,0,No strategy promotion unlocked
phase272_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase272_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase272_hard_gate_pass_rows,9,Hard gates passed
phase272_hard_gate_rows,9,Hard gates evaluated
phase272_next_best_action,run_phase273_focused_capital_aware_candidate_followthrough_search_no_paper_live,Recommended next milestone
