forbidden_output,emitted_in_phase217,allowed_in_phase217,rationale
model_fit,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
model_prediction,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
strategy_replay,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
test_replay_execution,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
test_result,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
promotion,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
paper_live_acceptance,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
order_arrival,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
fill_model,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
pnl_replay,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
profitability_claim,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
threshold_widening,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
row_level_design_matrix_export,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
row_level_prediction_export,0,0,"Phase217 is a design-matrix precommit and emits no row-level matrix, model, prediction, replay, order/fill/P&L, promotion, paper/live, or profitability artifact."
