metric,value,description
phase483_interpret_real_l2_capacity_candidate_complete,1,Phase483 complete if all interpretation-process gates pass
phase483_thesis_id,P483_INTERPRET_REAL_L2_CAPACITY_CANDIDATE,Phase483 thesis
phase483_selected_policy,P481_BASELINE_MAX2_CONCURRENT,Selected Phase482 policy
phase483_selected_verdict,P483_CAPACITY_CANDIDATE_REJECTED_BY_CONCENTRATION_AND_DATE_ROBUSTNESS,Selected verdict
phase483_selected_trades,25,Selected primary trades
phase483_net_pnl_inr,992.9649840110019,Selected primary net PnL
phase483_positive_date_fraction,0.35714285714285715,Positive-date fraction
phase483_top_date_net_share,3.7950274600005844,Top date net contribution share
phase483_top_symbol_net_share,3.260754895398129,Top symbol net contribution share
phase483_research_candidate_allowed,0,Can advance only to independent holdout precommit
phase483_strategy_promotion_allowed,0,No promotion
phase483_paper_or_live_acceptance_allowed,0,No paper/live
phase483_deployable_profitability_claim_allowed,0,No deployable claim
phase483_hard_gate_pass_rows,10,Passed hard gates
phase483_hard_gate_rows,10,Hard gates
phase483_next_best_action,stop_acceptance_for_phase482_candidate_or_require_materially_new_real_l2_signal_no_paper_live,Recommended next action
