diagnostic_trade_date,selected_trades,net_pnl_inr,symbols,positive
2026-07-08,1,-273.1438959912029,1,0
2026-07-09,1,110.34717553759418,1,1
2026-07-10,2,3768.3293811407934,1,1
2026-07-13,1,-183.6432566959942,1,0
2026-07-14,2,-517.9959719726029,2,0
2026-07-15,1,-369.167700208,1,0
2026-07-16,1,-658.7224291196001,1,0
2026-07-20,3,1230.728434179193,2,1
2026-07-21,3,300.95493746321165,2,1
2026-07-23,2,189.2386050240176,2,1
2026-07-24,2,-793.4978073199884,1,0
2026-07-27,2,-559.3118560152145,2,0
2026-08-03,2,-623.495648448,1,0
2026-08-04,2,-627.6549835632059,2,0
