phase286_variant_id,lifecycle_family,grid_id,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,positive_but_below12,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,full_depth_positive_clue,same_lifecycle_route_exhausted_for_acceptance
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E2_H8,queue_adversity_order_timing_test,P285_GRID_ORIG_E2_H8,12,234,8,0,0,4,0,0.0572796584592952,1.8604918238820611,3.462593252169461,109.923595306967,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E2_H8_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,2.0,0.9829059829059827,44,216,1,1,0,0,1,0,1,1,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E2_H8,entry_delay_test,P285_GRID_ORIG_E2_H8,12,861,7,0,0,0,0,-4.041100767621881,-2.1132803289232234,1.633788926092426,51.86631511404528,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E2_H8_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,2.5,0.9819976771196284,85,805,1,1,0,0,1,1,1,1,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_E0_H5,12,234,12,0,0,4,0,-0.8683890068240683,0.29567235012717863,0.6311394542253038,20.036173150009645,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,3.0,0.9829059829059827,41,227,1,1,0,0,1,0,1,1,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E1_H5,queue_adversity_order_timing_test,P285_GRID_ORIG_E1_H5,12,234,12,0,0,4,0,-1.8585191818745983,-0.5006611608444006,-0.1658739243495329,-5.2658388682391415,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,1.5,0.4914529914529914,41,227,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5,side_flip_reversal_test,P285_GRID_ORIG_E0_H5,12,640,11,0,0,8,0,-14.877216834055666,-2.670727331635804,-0.1668736032930763,-5.297574707716708,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,2.0,0.48984375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_E0_H5,12,598,16,0,0,8,0,-8.925138977925775,-5.92105091949099,-0.3786571160616771,-12.020860827354827,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2483277591973244,108,563,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H5,entry_delay_test,P285_GRID_ORIG_E0_H5,12,861,14,0,0,8,0,-2.480302219197814,-2.085392883378478,-0.4747758179112242,-15.07224818765791,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E1_H5,take_profit_stop_timeout_test,P285_GRID_ORIG_E1_H5,12,598,16,0,0,8,0,-10.92314026251926,-7.246331883072291,-0.7736864721555101,-24.56147530652413,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2483277591973244,108,563,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E1_H5,entry_delay_test,P285_GRID_ORIG_E1_H5,12,861,14,0,0,8,0,-3.585049807369629,-3.324582754826781,-0.8962624518424073,-28.45277624896531,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,1.0,0.2488385598141695,150,805,1,1,0,0,0,0,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5,side_flip_reversal_test,P285_GRID_ORIG_E1_H5,12,640,11,0,0,8,0,-16.729654016761383,-3.5065536295200856,-0.9006428553484481,-28.59183667772851,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E1_H5_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,2.0,0.48984375,76,591,1,1,0,0,0,0,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E2_H8,take_profit_stop_timeout_test,P285_GRID_ORIG_E2_H8,12,598,7,0,0,0,0,-11.45230082784032,-2.18603620672713,-1.093018103363565,-34.698987408367145,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_E2_H8_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,1.25,0.4962374581939799,58,575,1,1,0,0,0,1,1,0,1
P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP8_SL4_H10,queue_adversity_order_timing_test,P285_GRID_ORIG_TP8_SL4_H10,12,234,8,0,0,4,0,-5.607459588077079,-5.3778312,-1.3444578,-42.6812,P271_P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2478632478632478,45,227,1,1,0,0,0,0,1,0,1
P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP8_SL4_H10,entry_delay_test,P285_GRID_ORIG_TP8_SL4_H10,12,861,6,0,0,0,0,-5.3778312,-4.978373400000001,-1.3444578,-42.6812,P271_P286_P285_ENTRY_DELAY_TEST_P285_GRID_ORIG_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2494192799070848,86,805,1,1,0,0,0,1,1,0,1
P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP8_SL4_H10,take_profit_stop_timeout_test,P285_GRID_ORIG_TP8_SL4_H10,12,598,6,0,0,0,0,-5.3778312,-4.978373400000001,-1.3444578,-42.6812,P271_P286_P285_TAKE_PROFIT_STOP_TIMEOUT_TEST_P285_GRID_ORIG_TP8_SL4_H10_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.5,0.2491638795986622,47,579,1,1,0,0,0,1,1,0,1
P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E2_H8,side_flip_reversal_test,P285_GRID_ORIG_E2_H8,12,640,9,0,0,4,0,-18.795868960910063,-8.21999936146934,-1.6559797471353013,-52.5707856233429,P271_P286_P285_SIDE_FLIP_REVERSAL_TEST_P285_GRID_ORIG_E2_H8_CAP100000_NOT25000_CONC1_COST200,100000.0,25000.0,1,0.75,0.248828125,74,585,1,1,0,0,0,0,1,0,1
P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H5,short_horizon_exit_test,P285_GRID_ORIG_E0_H5,12,204,8,0,0,4,0,-8.746862897859007,-3.6274448987299297,-1.8125288023358248,-57.54059689954999,P271_P286_P285_SHORT_HORIZON_EXIT_TEST_P285_GRID_ORIG_E0_H5_CAP100000_NOT25000_CONC2_COST200,100000.0,25000.0,2,1.0,0.471813725490196,42,185,1,1,0,0,0,0,1,0,1
