metric,value,description
phase287_interpretation_complete,1,Phase287 interpretation completed
phase287_selected_next_route,P287_FULL_DEPTH_LIQUIDITY_PRESSURE_STRATEGY_SEARCH,Selected next route
phase287_phase286_variant_rows,60,Phase286 variants interpreted
phase287_phase286_scenario_rows,720,Phase286 scenarios interpreted
phase287_phase286_sparse_above12_scenario_rows,0,Phase286 sparse above-12 rows
phase287_phase286_robust_portfolio_floor_scenario_rows,0,Phase286 robust portfolio floor rows
phase287_phase286_robust_portfolio_above12_scenario_rows,0,Phase286 robust above-12 rows
phase287_best_phase286_variant_id,P286_P285_QUEUE_ADVERSITY_ORDER_TIMING_TEST_P285_GRID_ORIG_E2_H8,Best interpreted Phase286 variant
phase287_best_lifecycle_family,queue_adversity_order_timing_test,Best interpreted lifecycle family
phase287_best_grid_id,P285_GRID_ORIG_E2_H8,Best interpreted grid
phase287_best_cost200_annualized_pct,3.462593252169461,Best fixed-capital annualized diagnostic
phase287_best_scheduled_event_rows,8,Best scheduled events
phase287_positive_full_depth_clue_variant_rows,3,Positive full-depth clue variants
phase287_close_phase286_for_acceptance,1,Close Phase286 route for acceptance
phase287_do_not_relax_annualized_denominator,1,Keep fixed-capital annualized denominator
phase287_do_not_claim_portfolio_return,1,Do not claim portfolio return
phase287_strategy_replay_allowed,0,No strategy replay unlocked
phase287_strategy_promotion_allowed,0,No strategy promotion unlocked
phase287_paper_or_live_acceptance_allowed,0,No paper/live acceptance
phase287_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase287_hard_gate_pass_rows,9,Hard gates passed
phase287_hard_gate_rows,9,Hard gates evaluated
phase287_next_best_action,run_phase288_full_depth_liquidity_pressure_strategy_search_no_paper_live,Recommended next milestone
