scenario_id,pair_id,trade_date,aligned_ticks,candidate_scan_points,selected_trades,flip,remove_l2_l5,single_leg_proxy
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,2026-01-01,24921,74,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,2026-02-02,24500,95,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,2026-03-02,24921,133,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,2026-04-01,24500,173,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_ICICIBANK,2026-05-01,24500,145,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_AXISBANK,2026-01-01,24921,64,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_AXISBANK,2026-02-02,24500,180,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_AXISBANK,2026-03-02,24863,159,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_AXISBANK,2026-04-01,24921,107,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,HDFCBANK_AXISBANK,2026-05-01,24921,167,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,INFY_TCS,2026-01-01,24238,204,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,INFY_TCS,2026-02-02,24921,142,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,INFY_TCS,2026-03-02,24921,164,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,INFY_TCS,2026-04-01,24921,98,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,INFY_TCS,2026-05-01,24921,138,12,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,RELIANCE_ONGC,2026-01-01,24921,617,0,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,RELIANCE_ONGC,2026-02-02,24500,607,0,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,RELIANCE_ONGC,2026-03-02,24500,607,0,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,RELIANCE_ONGC,2026-04-01,24921,617,9,0,0,0
P418_PRIMARY_PAIR_SPREAD_CONVERGENCE,RELIANCE_ONGC,2026-05-01,24500,607,0,0,0,0
