scenario_id,pair_id,leg_a,leg_b,trade_date,entry_ts_ms,exit_ts_ms,entry_zscore,exit_zscore,side_a,side_b,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,quantity_a,quantity_b,gross_pnl_inr,cost100_inr,cost200_inr,net_pnl_inr,net_pnl_cost100_inr,hold_ms,forward_time_pass
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784260231200.0,1784260254131.0,1.9928961284397266,0.24627284448778594,short,long,convergence,813.15,1428.4,812.45,1427.8,61,35,21.69999999999709,104.9267323116,209.8534646232,-188.15346462320292,-83.22673231160292,22931.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784260566700.0,1784260601818.0,2.3928216299900638,0.3235741952127445,short,long,convergence,813.5,1428.0,813.65,1429.1,61,35,29.349999999998545,104.97784503789998,209.95569007579996,-180.60569007580142,-75.62784503790144,35118.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784260874950.0,1784260895875.0,1.771362846637984,0.08265978274241174,short,long,convergence,812.25,1428.8,812.25,1429.2,61,34,13.60000000000582,103.76367919900001,207.52735839800002,-193.9273583979942,-90.16367919899419,20925.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784260996947.0,1784261086947.0,2.606620927723382,0.3344290927938216,short,long,convergence,813.5,1429.3,813.55,1429.4,61,34,0.3500000000130967,103.83676686509999,207.67353373019998,-207.32353373018688,-103.48676686508689,90000.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784261185447.0,1784261263947.0,2.2816555660836606,-0.24902917880951633,short,long,convergence,813.8,1427.9,813.95,1428.5,61,35,11.849999999991269,104.9830250505,209.966050101,-198.11605010100874,-93.13302505050873,78500.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784261326947.0,1784261375591.0,-2.1268484462388604,-0.31001882588016166,long,short,convergence,814.1,1429.7,814.45,1430.2,61,34,4.350000000005821,103.8904743789,207.7809487578,-203.43094875779417,-99.54047437889417,48644.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784261796104.0,1784261800949.0,1.963355461693752,3.6007859869904637,short,long,stop_zscore,816.1,1430.1,816.85,1429.5,61,34,-66.14999999999418,103.99646590809999,207.99293181619998,-274.14293181619416,-170.14646590809417,4845.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-17,1784262204200.0,1784262305199.0,2.898642540259091,0.3064391996524452,short,long,convergence,816.15,1428.9,816.2,1428.6,61,34,-13.250000000014552,103.95178056009999,207.90356112019998,-221.15356112021453,-117.20178056011454,100999.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-20,1784519652110.0,1784519715860.0,2.4788228170286746,0.2741920492118392,short,long,convergence,782.25,1454.7,781.95,1454.7,63,34,18.89999999999418,104.2503521652,208.5007043304,-189.60070433040582,-85.35035216520582,63750.0,True
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,HDFCBANK,ICICIBANK,2026-07-20,1784519767861.0,1784519814610.0,-2.1922900173524527,-0.31934242435909826,long,short,convergence,780.6,1454.9,781.15,1454.8,64,34,38.60000000000582,104.8261778108,209.6523556216,-171.0523556215942,-66.22617781079418,46749.0,True
