scenario_id,pair_id,trade_date,aligned_ticks,candidate_scan_points,selected_trades,flip,remove_l2_l5,single_leg_proxy,raw_selected_before_forward_filter,min_forward_hold_ms,min_forward_ticks_after_entry
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,2026-01-01,24921,74,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,2026-02-02,24500,95,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,2026-03-02,24921,133,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,2026-04-01,24500,173,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_ICICIBANK,2026-05-01,24500,145,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_AXISBANK,2026-01-01,24921,64,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_AXISBANK,2026-02-02,24500,180,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_AXISBANK,2026-03-02,24863,159,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_AXISBANK,2026-04-01,24921,107,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,HDFCBANK_AXISBANK,2026-05-01,24921,167,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,INFY_TCS,2026-01-01,24238,204,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,INFY_TCS,2026-02-02,24921,142,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,INFY_TCS,2026-03-02,24921,164,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,INFY_TCS,2026-04-01,24921,98,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,INFY_TCS,2026-05-01,24921,138,0,0,0,0,12,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,RELIANCE_ONGC,2026-01-01,24921,617,0,0,0,0,0,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,RELIANCE_ONGC,2026-02-02,24500,607,0,0,0,0,0,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,RELIANCE_ONGC,2026-03-02,24500,607,0,0,0,0,0,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,RELIANCE_ONGC,2026-04-01,24921,617,0,0,0,0,9,250.0,3
P422_PRIMARY_PAIR_SPREAD_REALISM_RETEST,RELIANCE_ONGC,2026-05-01,24500,607,0,0,0,0,0,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,85,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-04-01,24500,173,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_ICICIBANK,2026-05-01,24500,145,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-01-01,24921,64,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-02-02,24500,180,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-03-02,24863,159,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-04-01,24921,107,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,HDFCBANK_AXISBANK,2026-05-01,24921,167,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,INFY_TCS,2026-01-01,24238,204,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,INFY_TCS,2026-02-02,24921,142,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,INFY_TCS,2026-03-02,24921,164,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,INFY_TCS,2026-04-01,24921,98,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,INFY_TCS,2026-05-01,24921,138,0,1,0,0,12,250.0,3
P422_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-01-01,24921,617,0,1,0,0,0,250.0,3
P422_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-02-02,24500,607,0,1,0,0,0,250.0,3
P422_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-03-02,24500,607,0,1,0,0,0,250.0,3
P422_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-04-01,24921,617,0,1,0,0,9,250.0,3
P422_SIDE_FLIP_CONTROL,RELIANCE_ONGC,2026-05-01,24500,607,0,1,0,0,0,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,74,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-04-01,24500,173,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_ICICIBANK,2026-05-01,24500,145,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-01-01,24921,64,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-02-02,24500,180,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-03-02,24863,159,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-04-01,24921,107,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,HDFCBANK_AXISBANK,2026-05-01,24921,167,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-01-01,24238,204,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-02-02,24921,142,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-03-02,24921,164,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-04-01,24921,98,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,INFY_TCS,2026-05-01,24921,138,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-01-01,24921,159,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-02-02,24500,187,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-03-02,24500,209,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-04-01,24921,181,0,0,1,0,12,250.0,3
P422_L2_L5_REMOVED_CONTROL,RELIANCE_ONGC,2026-05-01,24500,165,0,0,1,0,12,250.0,3
P422_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-01-01,24921,74,0,0,0,1,12,250.0,3
P422_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-02-02,24500,95,0,0,0,1,12,250.0,3
P422_SINGLE_LEG_PROXY_CONTROL,HDFCBANK_ICICIBANK,2026-03-02,24921,133,0,0,0,1,12,250.0,3
