strategy_id,side,spread_bucket,imbalance_bucket,replenishment_bucket,shard_symbol_label_rows,symbols,trade_dates,inferred_touches,mean_replenishment_ratio,median_replenishment_ratio,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,label_candidate
P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,3,1,3,1540,0.9686843590192228,0.9712556732223904,-10.901084784719322,-7.762680113425624,-19.169204784719323,1.0,0.0,-80.82860501967937,0.0,3.624380693620387,0.6977319818387119,False
P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I01_0p30_0p40,R02_partial_0p50_1p00,7,3,4,1900,0.9541417077123777,0.9564068692206077,-11.162447989313486,-7.04756693115649,-19.430567989313484,1.0,0.0,-57.12964797569331,0.0,3.6594838491288875,0.3672850458929429,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R02_partial_0p50_1p00,6,2,3,3840,0.9554430128875889,0.9663355505347373,-11.17274460625759,-7.390778371065276,-19.4408646062576,1.0,0.0,-196.7987404880589,0.0,1.6481114778723587,0.4783802103446602,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I03_0p60_0p80,R02_partial_0p50_1p00,3,1,3,1900,0.9692461581673265,0.9738562091503268,-11.273231305642618,-6.086696377298195,-19.54135130564261,1.0,0.0,-84.0215953376966,0.0,1.4453019516407766,0.6214345971685961,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I03_0p60_0p80,R02_partial_0p50_1p00,3,1,3,1780,0.9633108277607606,0.9705426356589147,-13.189183347836092,-6.372675799736216,-21.45730334783609,0.981981981981982,0.0,-214.7588859605376,2.220446049250313e-12,1.4428776316438074,0.6211205767375853,False
P68_FADE_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I01_0p30_0p40,R02_partial_0p50_1p00,9,3,3,2960,0.9584472993770043,0.9572953736654805,-13.883602359382174,-8.540404245800381,-22.15172235938217,0.9947089947089948,0.0,-179.8212005108557,2.220446049250313e-12,1.9661308069628234,0.3247348366060079,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I02_0p40_0p60,R02_partial_0p50_1p00,6,2,3,3560,0.9623436508745516,0.9729354882102286,-14.539836543226983,-11.447318317566179,-22.807956543226968,1.0,0.0,-97.84908321579854,0.0,1.6512544980170454,0.4763279728836918,False
P68_JOIN_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,3,1,3,7660,1.0084290054231086,1.0,-14.854125314951077,-9.237938609331087,-23.122245314951083,1.0,0.0,-113.66366176526421,0.0,3.6260165268379705,0.6978895158082801,False
P68_FADE_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,3,1,3,1460,0.9557047452393955,0.9669421487603306,-15.00337464192972,-6.296138296310039,-23.27149464192972,1.0,0.0,-194.0877119874729,0.0,3.6201792395326198,0.6963120829088968,False
P68_FADE_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,4,2,4,2040,0.9548664386659912,0.9708023986293547,-16.083069764318275,-10.820840685622224,-24.351189764318264,1.0,0.0,-123.42648760475416,-1.0633019068539973,3.2237477873704132,0.7102376955529631,False
P68_FADE_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,3,1,3,6189,1.0072535435157095,1.0,-16.515632457168028,-9.613659086830095,-24.783752457167974,0.9925384498248819,0.0,-194.0877119874729,0.1280360549538173,3.6194769248011807,0.6972707938712958,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,3,1,3,7118,1.0081221671944016,1.0,-16.70701375445805,-9.085292728133743,-24.975133754458046,0.9922913343965977,0.0,-214.7588859605376,2.220446049250313e-12,1.4433499894981745,0.6209060829063767,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I03_0p60_0p80,R03_rebuilt_1p00_1p50,3,1,3,7500,1.006622363929076,1.0,-16.739416538075496,-13.701593711691329,-25.007536538075456,1.0,0.0,-114.24083395808692,0.0,1.4458922230766706,0.6213291203259641,False
P68_JOIN_IMBALANCE_REPLENISH,1,S03_2p5_5bp,I03_0p60_0p80,R02_partial_0p50_1p00,4,2,4,1980,0.9533759970268083,0.9570890835581409,-16.910066381908692,-9.311951208613722,-25.178186381908702,1.0,0.0,-147.11616859867326,-0.35648082133188375,3.215257496074769,0.7121623230309784,False
P68_FADE_IMBALANCE_REPLENISH,-1,S03_2p5_5bp,I01_0p30_0p40,R02_partial_0p50_1p00,9,3,4,2380,0.9115663095124289,0.8893129770992366,-17.525249037322453,-16.104187088642476,-25.79336903732246,0.9914529914529915,0.0,-58.43017061937572,0.08341535843614523,3.195714068934453,0.3722572341354636,False
P68_JOIN_IMBALANCE_REPLENISH,1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,6,2,3,14460,1.0103488238650844,1.0,-18.00884393754435,-13.019351462190132,-26.276963937544362,1.0,0.0,-196.7987404880589,0.0,1.648193112821236,0.476882670419041,False
P68_FADE_IMBALANCE_REPLENISH,-1,S02_1_2p5bp,I02_0p40_0p60,R03_rebuilt_1p00_1p50,6,2,3,14090,1.0075839932932336,1.0,-18.462945088428086,-15.243950362822666,-26.731065088428064,1.0,0.0,-97.84908321579854,0.0,1.6516600070456742,0.47666172251745254,False
