symbol,strategy_id,side,replenishment_bucket,shard_symbol_label_rows,symbols,trade_dates,inferred_touches,mean_replenishment_ratio,median_replenishment_ratio,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,label_candidate
BANKBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2220,0.9594958544735237,0.969178997143253,-13.83732475139886,-6.9003873524253745,-22.10544475139884,1.0,0.0,-170.65287653522887,0.0,4.033146862698292,0.3287782940909209,False
JUNIORBEES,P68_JOIN_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2040,0.9601299743583742,0.9691607707429317,-13.992693133008522,-9.461063907668098,-22.260813133008526,1.0,0.0,-124.3329241099389,0.0,4.205252715538096,0.69815361514597,False
NIFTYBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2420,0.9593432589712583,0.9720085003698449,-14.019371291526026,-7.020066311638484,-22.287491291526013,1.0,0.0,-123.42648760475416,0.0,1.9786414958469667,0.6209984367039015,False
CIPLA,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2780,0.9565129280601709,0.973442394709363,-14.398351814265421,-10.027205202167156,-22.666471814265417,1.0,0.0,-142.93493057446204,0.0,3.2952877123562376,0.5670994411265888,False
RELIANCE,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2400,0.9434887168573891,0.9562065213461469,-14.853647525315308,-7.99898092988277,-23.121767525315306,1.0,0.0,-120.52730696798464,0.0,1.8891279371336127,0.44594141215454014,False
NESTLEIND,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,6,1,4,2200,0.9456821143205513,0.9407314833707406,-15.292759479742017,-7.903710454404411,-23.560879479742017,1.0,0.0,-225.89198805088472,0.0,3.4399036950143036,0.41031077019827183,False
ICICIBANK,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2640,0.9431003617432876,0.9524257615208458,-15.325048970013778,-8.581947195107631,-23.593168970013767,0.9880952380952381,0.0,-102.10045034205417,2.220446049250313e-12,1.9191708603858315,0.3661607997609212,False
BANKBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2560,0.9622288785973385,0.9719172501246538,-15.358259143800494,-10.48020341212652,-23.626379143800502,0.9807692307692308,0.0,-132.98603808383658,0.08341535843614523,4.044507773986114,0.3284280142072266,False
ITC,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2260,0.9552258269134833,0.9679197584631147,-15.8370928277706,-11.447318317566179,-24.105212827770593,1.0,0.0,-97.84908321579854,-0.8727526618967918,2.6462839451540314,0.5088113102741054,False
ITC,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2560,0.9559257913147403,0.962701558548717,-16.11373680234134,-7.5377828613815145,-24.381856802341343,1.0,0.0,-232.19946876874232,-0.8731336767675568,2.6374494327787232,0.5116508683360681,False
NIFTYBEES,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2360,0.9561153232540768,0.9642759834593174,-16.65280432113612,-7.128018502821353,-24.92092432113612,0.9864864864864865,0.0,-214.7588859605376,2.220446049250313e-12,1.9754881846487566,0.6218336638733218,False
SUNPHARMA,P68_FADE_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,800,0.9630212964450555,0.9619726881473106,-17.849559916893625,-7.737796647942218,-26.11767991689363,1.0,0.0,-179.8212005108557,0.0,2.5647983340018796,0.3058312022435837,False
JUNIORBEES,P68_JOIN_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,10260,1.0106873692716185,1.0,-18.505564628117103,-12.537478344435415,-26.77368462811711,0.9951923076923077,0.0,-124.3329241099389,0.18700443823904678,4.206000399678598,0.6978143715395939,False
CIPLA,P68_JOIN_IMBALANCE_REPLENISH,1,R02_partial_0p50_1p00,4,1,4,2280,0.9599931494791354,0.9713398274435041,-18.666949586539246,-9.37600192754462,-26.93506958653925,1.0,0.0,-261.0708329078604,0.0,3.289981620136003,0.5706657801358674,False
BANKBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,9490,1.0093582032839659,1.0,-19.03125997692688,-12.98811950274148,-27.29937997692691,0.9931192660550459,0.0,-138.58272821576924,0.08341535843614523,4.044314810494539,0.32848297661851605,False
ITBEES,P68_FADE_IMBALANCE_REPLENISH,-1,R02_partial_0p50_1p00,4,1,4,2280,0.9585283204376983,0.9708023986293547,-19.446674308864083,-10.820840685622224,-27.714794308864075,1.0,0.0,-239.30601256356488,0.0,3.858148051460428,0.7405323833886963,False
CIPLA,P68_FADE_IMBALANCE_REPLENISH,-1,R03_rebuilt_1p00_1p50,4,1,4,10020,1.0089600619613828,1.0,-20.004059497827065,-14.869490410798768,-28.272179497827068,1.0,0.0,-142.93493057446204,0.0,3.296822569680014,0.5686604525077739,False
