candidate_id,family_id,signal_source,direction,horizon_event_bars,event_quantile,signal_quantile,event_window_score_threshold,signal_abs_threshold,training_trades,training_net_pnl_inr,training_gross_pnl_inr,training_cost_pnl_drag_inr,cost150_net_pnl_inr_x,cost200_net_pnl_inr_x,training_dates,training_symbols,training_positive_dates,training_min_date_net_pnl_inr,training_max_date_contribution_abs,training_max_symbol_contribution_abs,training_precision_cost_clear,cost_stress_pass,side_flip_net_pnl_inr,side_flip_pass,random_p95_net_pnl_inr,random_beat_fraction,random_side_pass,cost150_net_pnl_inr_y,cost150_pass,cost200_net_pnl_inr_y,cost200_pass,control_pass_rows,phase243_candidate_survived
P243_BAR_RETURN_REVERSAL_H8_EQ0_99_SQ0_9,bar_return_reversal,bar_return,reversal,8,0.99,0.9,15.588121832874577,0.007790130735808787,29,8576.392616633566,12119.512566634614,3543.119950001047,6804.832641633044,5033.27266663252,5,13,4,-970.6334491026126,0.5992933496930695,0.497183932370359,0.5862068965517241,True,-15662.632516635666,True,4577.685847522412,0.997,True,6804.832641633044,True,5033.27266663252,True,4,True
P243_TOP5_IMBALANCE_CONTINUATION_H20_EQ0_95_SQ0_975,avg_top5_market_by_price_imbalance_continuation,avg_top5_market_by_price_imbalance,continuation,20,0.95,0.975,8.334102985231581,0.5659672841408777,32,4790.7972671463995,8365.574682067145,3574.777414920745,3003.4085596860277,1216.019852225655,7,15,5,-2737.1622710824113,0.9126040063415308,0.2960698503319306,0.59375,True,-11940.35209698789,True,2218.2147999440112,0.995,True,3003.4085596860277,True,1216.019852225655,True,4,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_985_SQ0_925,bar_return_reversal,bar_return,reversal,8,0.985,0.925,13.298295367314408,0.007583501953406985,32,8445.402698845812,12361.225555542933,3915.822856697121,6487.491270497251,4529.579842148691,5,15,4,-970.6334491026126,0.5336923422812527,0.5048953565319904,0.59375,True,-16277.048412240052,True,4617.86256175191,0.994,True,6487.491270497251,True,4529.579842148691,True,4,True
P243_BAR_RETURN_REVERSAL_H6_EQ0_9_SQ0_985,bar_return_reversal,bar_return,reversal,6,0.9,0.985,5.961380692012275,0.006854375448900408,42,8298.755172111589,13417.056244843849,5118.301072732261,5739.604635745458,3180.454099379327,5,16,4,-148.1241229268312,0.6189338941600988,0.46781233830843366,0.5714285714285714,True,-18535.35731757611,True,3790.888629949246,0.994,True,5739.604635745458,True,3180.454099379327,True,4,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_9_SQ0_985,bar_return_reversal,bar_return,reversal,8,0.9,0.985,5.961380692012275,0.006859179444795057,42,8137.219160348338,13255.520233080599,5118.301072732261,5578.068623982208,3018.918087616077,5,16,4,-1988.5106733245966,0.59871694119291,0.4431651403608845,0.5476190476190477,True,-18373.821305812853,True,3971.804916046198,0.994,True,5578.068623982208,True,3018.918087616077,True,4,True
P243_BAR_RETURN_REVERSAL_H15_EQ0_99_SQ0_95,bar_return_reversal,bar_return,reversal,15,0.99,0.95,15.588121832874577,0.009156089959634637,14,6839.4577712548535,8618.59194273381,1779.1341714789571,5949.890685515375,5060.323599775897,4,10,3,-21.179482687777124,0.6771152720594266,0.3630226126567735,0.7142857142857143,True,-10397.726114212768,True,4502.257249117498,0.993,True,5949.890685515375,True,5060.323599775897,True,4,True
P243_BAR_RETURN_REVERSAL_H6_EQ0_985_SQ0_925,bar_return_reversal,bar_return,reversal,6,0.985,0.925,13.298295367314408,0.007566051112944838,32,6841.2380705428495,10757.06092723997,3915.822856697121,4883.326642194289,2925.4152138457284,5,15,4,-776.3251344787315,0.6530515345190361,0.5290608021678102,0.59375,True,-14672.88378393709,True,4088.084121839849,0.993,True,4883.326642194289,True,2925.4152138457284,True,4,True
P243_BAR_RETURN_REVERSAL_H10_EQ0_925_SQ0_985,bar_return_reversal,bar_return,reversal,10,0.925,0.985,6.908611171778688,0.0077260997283491555,31,6014.801789914363,9788.440953567213,3773.6391636528497,4127.9822080879385,2241.1626262615137,5,14,4,-2041.857952302587,0.5043736205356742,0.5730785130730538,0.5161290322580645,True,-13562.080117220063,True,3510.163906802667,0.993,True,4127.9822080879385,True,2241.1626262615137,True,4,True
P243_BAR_RETURN_REVERSAL_H4_EQ0_985_SQ0_925,bar_return_reversal,bar_return,reversal,4,0.985,0.925,13.298295367314408,0.007531149432020544,32,5532.325558842871,9448.148415539992,3915.822856697121,3574.4141304943105,1616.50270214575,5,15,3,-37.179339858431945,0.6258688750126551,0.4705338984794203,0.5625,True,-13363.971272237113,True,3499.21100150483,0.993,True,3574.4141304943105,True,1616.50270214575,True,4,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_925_SQ0_985,bar_return_reversal,bar_return,reversal,8,0.925,0.985,6.908611171778688,0.007688206996179878,32,8445.402698845812,12361.225555542933,3915.822856697121,6487.491270497251,4529.579842148691,5,15,4,-970.6334491026126,0.5336923422812527,0.5048953565319904,0.59375,True,-16277.048412240052,True,4622.476341714213,0.991,True,6487.491270497251,True,4529.579842148691,True,4,True
P243_BAR_RETURN_REVERSAL_H4_EQ0_95_SQ0_985,bar_return_reversal,bar_return,reversal,4,0.95,0.985,8.334102985231581,0.008364327687144159,22,6127.421468497107,8883.209853986084,2755.788385488977,4749.527275752618,3371.6330830081297,5,12,4,-396.2331926134219,0.5761503380510188,0.2954134736699072,0.6363636363636364,True,-11638.998239475064,True,3681.539660633142,0.99,True,4749.527275752618,True,3371.6330830081297,True,4,True
