candidate_id,side_flip_net_pnl_inr,side_flip_pass,random_p95_net_pnl_inr,random_beat_fraction,random_side_pass,cost150_net_pnl_inr,cost150_pass,cost200_net_pnl_inr,cost200_pass,control_pass_rows
P243_BAR_RETURN_REVERSAL_H8_EQ0_99_SQ0_95,-11781.027430284006,True,6002.26536132253,0.98,True,6998.772491693651,True,6042.32150397558,True,4
P243_BAR_RETURN_REVERSAL_H8_EQ0_995_SQ0_9,-11781.027430284006,True,5396.416668915015,0.988,True,6998.772491693651,True,6042.32150397558,True,4
P243_BAR_RETURN_REVERSAL_H8_EQ0_9_SQ0_995,-10868.797089836391,True,5296.734247665174,0.978,True,6420.961661138996,True,5531.394575399518,True,4
P243_BAR_RETURN_REVERSAL_H8_EQ0_95_SQ0_99,-10868.797089836391,True,5400.003322682805,0.98,True,6420.961661138996,True,5531.394575399518,True,4
P243_BAR_RETURN_REVERSAL_H6_EQ0_95_SQ0_99,-10967.113477466904,True,5101.142199356452,0.982,True,6184.858538876551,True,5228.40755115848,True,4
P243_BAR_RETURN_REVERSAL_H6_EQ0_99_SQ0_95,-10967.113477466904,True,5703.768593578948,0.977,True,6184.858538876551,True,5228.40755115848,True,4
P243_BAR_RETURN_REVERSAL_H6_EQ0_995_SQ0_9,-10967.113477466904,True,5705.427171394167,0.973,True,6184.858538876551,True,5228.40755115848,True,4
P243_BAR_RETURN_REVERSAL_H15_EQ0_95_SQ0_99,-10397.726114212768,True,4874.173217209262,0.984,True,5949.890685515375,True,5060.323599775897,True,4
P243_BAR_RETURN_REVERSAL_H15_EQ0_99_SQ0_95,-10397.726114212768,True,4502.257249117498,0.993,True,5949.890685515375,True,5060.323599775897,True,4
P243_BAR_RETURN_REVERSAL_H15_EQ0_995_SQ0_9,-10397.726114212768,True,4790.545884072191,0.983,True,5949.890685515375,True,5060.323599775897,True,4
P243_BAR_RETURN_REVERSAL_H8_EQ0_99_SQ0_9,-15662.632516635666,True,4577.685847522412,0.997,True,6804.832641633044,True,5033.27266663252,True,4
P243_BAR_RETURN_REVERSAL_H12_EQ0_995_SQ0_9,-10709.585735106906,True,4853.882027067763,0.98,True,5927.330796516553,True,4970.8798087984815,True,4
P243_BAR_RETURN_REVERSAL_H8_EQ0_975_SQ0_975,-11774.918759664488,True,4912.970654679274,0.986,True,6051.730536225592,True,4907.092891537814,True,4
P243_BAR_RETURN_REVERSAL_H6_EQ0_9_SQ0_995,-10164.35443121325,True,5213.003696520329,0.976,True,5716.519002515859,True,4826.951916776381,True,4
P243_BAR_RETURN_REVERSAL_H12_EQ0_9_SQ0_995,-10093.333338220755,True,5111.988185205805,0.978,True,5645.497909523361,True,4755.930823783883,True,4
P243_BAR_RETURN_REVERSAL_H12_EQ0_95_SQ0_99,-10093.333338220755,True,5323.023816765477,0.979,True,5645.497909523361,True,4755.930823783883,True,4
