candidate_id,family_id,signal_source,direction,horizon_event_bars,event_quantile,signal_quantile,event_window_score_threshold,signal_abs_threshold,training_trades,training_net_pnl_inr,training_gross_pnl_inr,training_cost_pnl_drag_inr,cost150_net_pnl_inr,cost200_net_pnl_inr,training_dates,training_symbols,training_positive_dates,training_min_date_net_pnl_inr,training_max_date_contribution_abs,training_max_symbol_contribution_abs,training_precision_cost_clear,cost_stress_pass
P243_BAR_RETURN_REVERSAL_H8_EQ0_99_SQ0_95,bar_return_reversal,bar_return,reversal,8,0.99,0.95,15.588121832874577,0.009090457020266828,15,7955.223479411721,9868.125454847863,1912.9019754361414,6998.772491693651,6042.32150397558,4,11,3,-1586.8669642965347,0.7534529952251119,0.35015221701690763,0.7333333333333333,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_995_SQ0_9,bar_return_reversal,bar_return,reversal,8,0.995,0.9,19.497499708406448,0.00908068863934548,15,7955.223479411721,9868.125454847863,1912.9019754361414,6998.772491693651,6042.32150397558,4,11,3,-1586.8669642965347,0.7534529952251119,0.35015221701690763,0.7333333333333333,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_9_SQ0_995,bar_return_reversal,bar_return,reversal,8,0.9,0.995,5.961380692012275,0.009137471963875236,14,7310.5287468784745,9089.662918357431,1779.1341714789571,6420.961661138996,5531.394575399518,4,10,3,-1586.8669642965347,0.7317107162732522,0.3810311448909041,0.7142857142857143,True
P243_BAR_RETURN_REVERSAL_H8_EQ0_95_SQ0_99,bar_return_reversal,bar_return,reversal,8,0.95,0.99,8.334102985231581,0.009128844112181825,14,7310.5287468784745,9089.662918357431,1779.1341714789571,6420.961661138996,5531.394575399518,4,10,3,-1586.8669642965347,0.7317107162732522,0.3810311448909041,0.7142857142857143,True
P243_BAR_RETURN_REVERSAL_H6_EQ0_95_SQ0_99,bar_return_reversal,bar_return,reversal,6,0.95,0.99,8.334102985231581,0.00911390113447809,15,7141.309526594621,9054.211502030763,1912.9019754361414,6184.858538876551,5228.40755115848,4,11,3,-1602.3944916049354,0.7458443951048054,0.304237235972017,0.7333333333333333,True
P243_BAR_RETURN_REVERSAL_H6_EQ0_99_SQ0_95,bar_return_reversal,bar_return,reversal,6,0.99,0.95,15.588121832874577,0.009090457020266828,15,7141.309526594621,9054.211502030763,1912.9019754361414,6184.858538876551,5228.40755115848,4,11,3,-1602.3944916049354,0.7458443951048054,0.304237235972017,0.7333333333333333,True
P243_BAR_RETURN_REVERSAL_H6_EQ0_995_SQ0_9,bar_return_reversal,bar_return,reversal,6,0.995,0.9,19.497499708406448,0.00908068863934548,15,7141.309526594621,9054.211502030763,1912.9019754361414,6184.858538876551,5228.40755115848,4,11,3,-1602.3944916049354,0.7458443951048054,0.304237235972017,0.7333333333333333,True
P243_BAR_RETURN_REVERSAL_H15_EQ0_95_SQ0_99,bar_return_reversal,bar_return,reversal,15,0.95,0.99,8.334102985231581,0.009202407900304417,14,6839.4577712548535,8618.59194273381,1779.1341714789571,5949.890685515375,5060.323599775897,4,10,3,-21.179482687777124,0.6771152720594266,0.3630226126567735,0.7142857142857143,True
P243_BAR_RETURN_REVERSAL_H15_EQ0_99_SQ0_95,bar_return_reversal,bar_return,reversal,15,0.99,0.95,15.588121832874577,0.009156089959634637,14,6839.4577712548535,8618.59194273381,1779.1341714789571,5949.890685515375,5060.323599775897,4,10,3,-21.179482687777124,0.6771152720594266,0.3630226126567735,0.7142857142857143,True
P243_BAR_RETURN_REVERSAL_H15_EQ0_995_SQ0_9,bar_return_reversal,bar_return,reversal,15,0.995,0.9,19.497499708406448,0.009137926061332768,14,6839.4577712548535,8618.59194273381,1779.1341714789571,5949.890685515375,5060.323599775897,4,10,3,-21.179482687777124,0.6771152720594266,0.3630226126567735,0.7142857142857143,True
