scope,strategy_id,execution_profile,rows,trades,gross_return,cost_return,original_net_return,inverse_net_return,oracle_signed_net_return,original_net_pnl_inr,inverse_net_pnl_inr,oracle_signed_net_pnl_inr,original_positive,inverse_positive,oracle_signed_positive,turnover_bucket,abs_gross_to_cost_ratio,symbol,trade_date,best_expanded_variant,best_expanded_net_return,best_expanded_net_pnl_inr,best_expanded_positive
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.001005200932874,-0.001005200932874,-0.001005200932874,-0.001005200932874,-100.5200932874,-100.5200932874,-100.5200932874,False,False,False,single_trade,0.0,GOLDBEES,2026-07-01,original,-0.001005200932874,-100.5200932874,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010052058781799,-0.0010052058781799,-0.0010052058781799,-0.0010052058781799,-100.52058781799,-100.52058781799,-100.52058781799,False,False,False,single_trade,0.0,GOLDBEES,2026-05-29,original,-0.0010052058781799,-100.52058781799,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010052168691126,-0.0010052168691126,-0.0010052168691126,-0.0010052168691126,-100.52168691126,-100.52168691126,-100.52168691126,False,False,False,single_trade,0.0,GOLDBEES,2026-02-04,original,-0.0010052168691126,-100.52168691126,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010052168691126,-0.0010052168691126,-0.0010052168691126,-0.0010052168691126,-100.52168691126,-100.52168691126,-100.52168691126,False,False,False,single_trade,0.0,GOLDBEES,2026-10-27,original,-0.0010052168691126,-100.52168691126,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010055163249801,-0.0010055163249801,-0.0010055163249801,-0.0010055163249801,-100.55163249801001,-100.55163249801001,-100.55163249801001,False,False,False,single_trade,0.0,GOLDBEES,2026-10-28,original,-0.0010055163249801,-100.55163249801001,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010056754331109,-0.0010056754331109,-0.0010056754331109,-0.0010056754331109,-100.56754331108999,-100.56754331108999,-100.56754331108999,False,False,False,single_trade,0.0,GOLDBEES,2026-04-23,original,-0.0010056754331109,-100.56754331108999,False
strategy_symbol_date_profile,P164_S04_TRADE_FLOW_DEPTH,retail_marketable_default,1,1,0.0,0.001005711200825,-0.001005711200825,-0.001005711200825,-0.001005711200825,-100.57112008249999,-100.57112008249999,-100.57112008249999,False,False,False,single_trade,0.0,GOLDBEES,2026-06-22,original,-0.001005711200825,-100.57112008249999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010057294799211,-0.0010057294799211,-0.0010057294799211,-0.0010057294799211,-100.57294799210999,-100.57294799210999,-100.57294799210999,False,False,False,single_trade,0.0,GOLDBEES,2026-07-23,original,-0.0010057294799211,-100.57294799210999,False
strategy_symbol_date_profile,P164_S06_ABSORPTION_REVERSAL,retail_marketable_default,1,1,0.0,0.0010059903824283,-0.0010059903824283,-0.0010059903824283,-0.0010059903824283,-100.59903824282999,-100.59903824282999,-100.59903824282999,False,False,False,single_trade,0.0,GOLDBEES,2026-05-07,original,-0.0010059903824283,-100.59903824282999,False
strategy_symbol_date_profile,P164_S03_LIQUIDITY_VACUUM,retail_marketable_default,1,1,0.0,0.0010060460299047,-0.0010060460299047,-0.0010060460299047,-0.0010060460299047,-100.60460299047,-100.60460299047,-100.60460299047,False,False,False,single_trade,0.0,GOLDBEES,2026-08-06,original,-0.0010060460299047,-100.60460299047,False
