metric,value,description
phase440_external_catalyst_precommit_complete,1,Phase440 precommit completed
phase440_thesis_id,P440_EXTERNAL_CATALYST_FULL_DEPTH_CONFIRMATION_PRECOMMIT,Frozen thesis
phase440_selected_source_id,official_catalyst_reversal_with_full_depth_confirmation,Selected external-alpha source
phase440_grid_rows,12,Frozen Phase441 scenario rows
phase440_grid_hash,bb62d5c763c73276da0b22d1ebdf16558f08ffe1bdb8e2f3771d73b07d38719d,Hash of frozen grid
phase440_execution_results_generated,0,Precommit only
phase440_strategy_promotion_allowed,0,No promotion
phase440_paper_or_live_acceptance_allowed,0,No paper/live
phase440_deployable_profitability_claim_allowed,0,No deployable claim
phase440_execution_allowed_next,1,Whether Phase441 may execute
phase440_hard_gate_pass_rows,11,Passed hard gates
phase440_hard_gate_rows,11,Hard gates
phase440_next_best_action,run_phase441_external_catalyst_full_depth_confirmation_no_paper_live,Recommended next action
