scenario_id,family_id,horizon_ticks,depth_confirmation,capacity_events_per_date,cost_multiplier,order_notional_inr
P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,600,exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H600_exhaustion_C5,official_catalyst_reversal,600,exhaustion,5,2.0,100000.0
P441_catalyst_reversal_H600_replenishment_after_exhaustion_C3,official_catalyst_reversal,600,replenishment_after_exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H600_replenishment_after_exhaustion_C5,official_catalyst_reversal,600,replenishment_after_exhaustion,5,2.0,100000.0
P441_catalyst_reversal_H1200_exhaustion_C3,official_catalyst_reversal,1200,exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H1200_exhaustion_C5,official_catalyst_reversal,1200,exhaustion,5,2.0,100000.0
P441_catalyst_reversal_H1200_replenishment_after_exhaustion_C3,official_catalyst_reversal,1200,replenishment_after_exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H1200_replenishment_after_exhaustion_C5,official_catalyst_reversal,1200,replenishment_after_exhaustion,5,2.0,100000.0
P441_catalyst_reversal_H2400_exhaustion_C3,official_catalyst_reversal,2400,exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H2400_exhaustion_C5,official_catalyst_reversal,2400,exhaustion,5,2.0,100000.0
P441_catalyst_reversal_H2400_replenishment_after_exhaustion_C3,official_catalyst_reversal,2400,replenishment_after_exhaustion,3,2.0,100000.0
P441_catalyst_reversal_H2400_replenishment_after_exhaustion_C5,official_catalyst_reversal,2400,replenishment_after_exhaustion,5,2.0,100000.0
