gate_id,passed,observed_value,required_value,severity
P440_PHASE439_AVAILABLE,True,pause_for_strategy_decision_or_precommit_external_alpha_source,external_alpha_source,hard
P440_PRIOR_POSITIVE_SPARSE_CLUE_PRESENT,True,18.850571174586552,>=12.0,hard
P440_PRIOR_CLUE_NOT_ACCEPTED,True,0,0,hard
P440_EVENT_FLOOR_REPAIR_REQUIRED,True,21,<30_prior_sparse,hard
P440_EXTERNAL_ALPHA_AXIS_PRESENT,True,official_catalyst_calendar_and_context_from_local_phase387_phase393_artifacts,official_catalyst,hard
P440_FULL_DEPTH_CONFIRMATION_REQUIRED,True,L1_spread_microprice_plus_L2_to_L5_imbalance_depth_slope_replenishment_vacuum,L2-L5,hard
P440_GRID_FROZEN,True,12,12,hard
P440_COST200_FIXED_CAPITAL_PINNED,True,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,cost200_fixed_capital,hard
P440_CONTROLS_PRECOMMITTED,True,non_catalyst_date_control;side_flip;time_shifted_catalyst;L1_only_ablation;real_anchor_holdout,external_controls,hard
P440_RESULTS_NOT_GENERATED,True,0,0,hard
P440_BOUNDARIES_CLOSED,True,same_l2_only_timing_variant;same_phase435_ranker_rescue;same_phase438_regime_rescue;promotion;paper_live;deployable_profitability_claim,closed,hard
