metric,value,description
phase456_cross_asset_interpretation_complete,1,Phase456 interpretation completed
phase456_thesis_id,P456_CROSS_ASSET_ETF_PRESSURE_INTERPRETATION,Interpretation thesis
phase456_selected_verdict,P456_FIRST_WINDOW_CROSS_ASSET_ETF_PRESSURE_REJECTED_ZERO_GROSS_EDGE,Selected verdict
phase456_same_form_rescue_allowed,0,No same-form rescue
phase456_strategy_promotion_allowed,0,No promotion
phase456_paper_or_live_acceptance_allowed,0,No paper/live
phase456_deployable_profitability_claim_allowed,0,No deployable claim
phase456_hard_gate_pass_rows,8,Passed hard gates
phase456_hard_gate_rows,8,Hard gates
phase456_next_best_action,precommit_material_new_timing_or_label_source_not_first_window_cross_asset_pressure,Recommended next action
