quarter_profile,regime_code,regime_family,days,gap_days,market_shock_days,event_cluster_days,avg_vol_multiplier,avg_spread_multiplier,avg_depth_multiplier,share
Q-A,D01,Normal balanced,12,1,0,0,1.0,1.0,1.0,0.19047619047619047
Q-A,D02,Low-volatility sideways,7,0,0,0,0.65,0.85,1.05,0.1111111111111111
Q-A,D03,High-volatility sideways,5,0,0,0,1.45,1.2,0.95,0.07936507936507936
Q-A,D04,Gradual bullish trend,7,0,0,0,1.1,1.0,1.0,0.1111111111111111
Q-A,D05,Strong rally,2,0,0,0,1.65,1.1,0.9,0.031746031746031744
Q-A,D06,Gradual bearish trend,5,0,0,0,1.15,1.05,0.95,0.07936507936507936
Q-A,D07,Sell-off/panic,3,0,3,0,2.2,1.75,0.65,0.047619047619047616
Q-A,D08,Gap-up continuation,2,2,0,0,1.35,1.05,0.95,0.031746031746031744
Q-A,D09,Gap-up fade,1,1,0,0,1.45,1.15,0.9,0.015873015873015872
Q-A,D10,Gap-down continuation,2,2,0,0,1.55,1.25,0.85,0.031746031746031744
Q-A,D11,Gap-down recovery,1,1,0,0,1.5,1.2,0.9,0.015873015873015872
Q-A,D12,Event day,5,0,2,5,1.6,1.25,0.85,0.07936507936507936
Q-A,D13,Liquidity-stressed,1,0,1,0,1.35,2.0,0.5,0.015873015873015872
Q-A,D15,Rotation day,2,0,0,0,1.15,1.05,1.0,0.031746031746031744
Q-A,D17,Stock-specific dispersion,2,0,0,0,1.25,1.1,0.95,0.031746031746031744
Q-A,D18,False-breakout day,3,1,0,0,1.3999999999999997,1.15,0.9,0.047619047619047616
Q-A,D19,Trend reversal day,2,0,0,0,1.5,1.15,0.9,0.031746031746031744
Q-A,D20,Shock-and-normalize,1,0,1,0,2.0,1.6,0.7,0.015873015873015872
Q-B,D01,Normal balanced,9,0,1,0,1.0,1.0,1.0,0.14285714285714285
Q-B,D02,Low-volatility sideways,4,0,0,0,0.65,0.85,1.05,0.06349206349206349
Q-B,D03,High-volatility sideways,4,0,0,0,1.45,1.2,0.95,0.06349206349206349
Q-B,D04,Gradual bullish trend,11,0,1,0,1.1,1.0,1.0,0.1746031746031746
Q-B,D05,Strong rally,7,0,3,0,1.65,1.1,0.9,0.1111111111111111
Q-B,D06,Gradual bearish trend,3,0,1,1,1.15,1.05,0.9499999999999998,0.047619047619047616
Q-B,D07,Sell-off/panic,1,0,1,0,2.2,1.75,0.65,0.015873015873015872
Q-B,D08,Gap-up continuation,4,4,2,0,1.35,1.05,0.95,0.06349206349206349
Q-B,D09,Gap-up fade,1,1,0,0,1.45,1.15,0.9,0.015873015873015872
Q-B,D10,Gap-down continuation,1,1,0,0,1.55,1.25,0.85,0.015873015873015872
Q-B,D11,Gap-down recovery,1,1,0,0,1.5,1.2,0.9,0.015873015873015872
Q-B,D12,Event day,5,1,0,5,1.6,1.25,0.85,0.07936507936507936
Q-B,D13,Liquidity-stressed,1,0,0,0,1.35,2.0,0.5,0.015873015873015872
Q-B,D15,Rotation day,3,0,0,0,1.15,1.05,1.0,0.047619047619047616
Q-B,D17,Stock-specific dispersion,2,0,0,0,1.25,1.1,0.95,0.031746031746031744
Q-B,D18,False-breakout day,3,0,0,0,1.3999999999999997,1.15,0.9,0.047619047619047616
Q-B,D19,Trend reversal day,2,0,0,0,1.5,1.15,0.9,0.031746031746031744
Q-B,D20,Shock-and-normalize,1,0,1,0,2.0,1.6,0.7,0.015873015873015872
Q-C,D01,Normal balanced,5,0,0,0,1.0,1.0,1.0,0.07936507936507936
Q-C,D02,Low-volatility sideways,3,0,0,0,0.65,0.85,1.05,0.047619047619047616
Q-C,D03,High-volatility sideways,8,0,0,0,1.45,1.2,0.95,0.12698412698412698
Q-C,D04,Gradual bullish trend,5,0,0,0,1.1,1.0,1.0,0.07936507936507936
Q-C,D05,Strong rally,2,0,0,0,1.65,1.1,0.9,0.031746031746031744
Q-C,D06,Gradual bearish trend,7,1,0,0,1.15,1.05,0.95,0.1111111111111111
Q-C,D07,Sell-off/panic,6,0,6,0,2.2,1.75,0.65,0.09523809523809523
Q-C,D08,Gap-up continuation,1,1,0,0,1.35,1.05,0.95,0.015873015873015872
Q-C,D09,Gap-up fade,2,2,0,1,1.45,1.15,0.9,0.031746031746031744
Q-C,D10,Gap-down continuation,3,3,0,0,1.55,1.25,0.85,0.047619047619047616
Q-C,D11,Gap-down recovery,1,1,0,0,1.5,1.2,0.9,0.015873015873015872
Q-C,D12,Event day,5,0,0,5,1.6,1.25,0.85,0.07936507936507936
Q-C,D13,Liquidity-stressed,2,0,0,0,1.35,2.0,0.5,0.031746031746031744
Q-C,D15,Rotation day,3,0,0,0,1.15,1.05,1.0,0.047619047619047616
Q-C,D17,Stock-specific dispersion,3,0,0,0,1.25,1.1,0.9499999999999998,0.047619047619047616
Q-C,D18,False-breakout day,3,0,0,0,1.3999999999999997,1.15,0.9,0.047619047619047616
Q-C,D19,Trend reversal day,2,0,0,0,1.5,1.15,0.9,0.031746031746031744
Q-C,D20,Shock-and-normalize,2,0,2,0,2.0,1.6,0.7,0.031746031746031744
