symbol,trade_date,exchange,source_symbol_dir,target_symbol_dir,parquet_files,planned_action,blocker,executed,copied_files,execution_status
ADANIPORTS,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS,641,copy_symbol_partition,,True,0,copied
AXISBANK,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK,641,copy_symbol_partition,,True,0,copied
BAJAJ-AUTO,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO,641,copy_symbol_partition,,True,0,copied
BANKBEES,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES,641,copy_symbol_partition,,True,0,copied
BHARTIARTL,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL,640,copy_symbol_partition,,True,0,copied
BPCL,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BPCL,640,copy_symbol_partition,,True,0,copied
BRITANNIA,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA,641,copy_symbol_partition,,True,0,copied
CIPLA,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA,640,copy_symbol_partition,,True,0,copied
DRREDDY,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY,641,copy_symbol_partition,,True,0,copied
GOLDBEES,2026-07-08,NSE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES,641,copy_symbol_partition,,True,0,copied
