symbol,trade_date,exchange,source_symbol_dir,target_symbol_dir,parquet_files,planned_action,blocker
ADANIPORTS,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ADANIPORTS,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ADANIPORTS,1569,copy_symbol_partition,
AXISBANK,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=AXISBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=AXISBANK,1569,copy_symbol_partition,
BAJAJ-AUTO,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=BAJAJ-AUTO,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=BAJAJ-AUTO,1569,copy_symbol_partition,
BANKBEES,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=BANKBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=BANKBEES,1569,copy_symbol_partition,
BHARTIARTL,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=BHARTIARTL,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=BHARTIARTL,1569,copy_symbol_partition,
BPCL,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=BPCL,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=BPCL,1569,copy_symbol_partition,
BRITANNIA,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=BRITANNIA,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=BRITANNIA,1569,copy_symbol_partition,
CIPLA,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=CIPLA,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=CIPLA,1569,copy_symbol_partition,
DRREDDY,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=DRREDDY,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=DRREDDY,1569,copy_symbol_partition,
GOLDBEES,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=GOLDBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=GOLDBEES,1568,copy_symbol_partition,
HCLTECH,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=HCLTECH,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=HCLTECH,1569,copy_symbol_partition,
HDFCBANK,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=HDFCBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=HDFCBANK,1569,copy_symbol_partition,
HINDUNILVR,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=HINDUNILVR,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=HINDUNILVR,1569,copy_symbol_partition,
ICICIBANK,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ICICIBANK,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ICICIBANK,1569,copy_symbol_partition,
INFY,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=INFY,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=INFY,1569,copy_symbol_partition,
ITBEES,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ITBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ITBEES,1569,copy_symbol_partition,
ITC,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=ITC,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=ITC,1569,copy_symbol_partition,
JUNIORBEES,2026-07-13,NSE,real_data_sample\l2_single_day\symbol=JUNIORBEES,real_data_sample\l2_multiday_panel\trade_date=2026-07-13\exchange=NSE\symbol=JUNIORBEES,1568,copy_symbol_partition,
