gate_id,passed,observed_value,required_value,severity
P470_PHASE469_PRECOMMIT_USED,True,1,1,hard
P470_MATRIX_ROWS_PRESENT,True,1792,>0,hard
P470_FEATURE_COUNT_MATCHES_CONTRACT,True,25,25,hard
P470_L2_L5_FEATURE_COUNT_MATCHES_CONTRACT,True,10.0,10,hard
P470_ALL_FEATURES_FINITE,True,1792,1792,hard
P470_FEATURE_VARIATION_PRESENT,True,25,>=18,hard
P470_L2_L5_FEATURE_VARIATION_PRESENT,True,10,>=8,hard
P470_MOVE_CANDIDATES_PRESENT,True,935.0,>0,hard
P470_TRAIN_AND_HOLDOUT_PRESENT,True,train=1176.0;holdout=616.0,both>0,hard
P470_BOTH_DIRECTIONS_PRESENT,True,long=943.0;short=838.0,both>0,hard
P470_SOURCE_EVENT_HISTORY_PRESENT,True,1.0,>=1,hard
P470_NO_MODEL_FIT,True,matrix_only,no_model_fit,hard
P470_NO_STRATEGY_PNL,True,matrix_only,no_pnl,hard
P470_NO_PAPER_LIVE_OR_CLAIM,True,promotion=0;paper=0;claim=0,all_zero,hard
