source_phase,model_id,model_type,execution_profile,observed_source_days,synthetic_year_days,annualized_trades,annualized_net_pnl_inr,mean_daily_net_pnl_inr,worst_daily_net_pnl_inr,max_drawdown_inr,annualized_sharpe_proxy,positive_days,positive_day_fraction,mean_net_return,mean_market_shock_trade_fraction,mean_disconnect_trade_fraction,synthetic_full_year_acceptance_ready,experiment_scope
phase26_strategy_salvage,S05_q85_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q95_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q85_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q95_sp080_liqall,strategy_variant,stressed_retail,1,252,2268,-32855.63838149869,-130.37951738689958,-130.37951738689952,-32725.258864111907,-3.6338419906681384e+16,0,0.0,-0.0001448661304298882,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q85_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q95_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q85_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S09_q95_sp080_liqall,strategy_variant,retail_marketable_default,1,252,2268,-101212.45053685718,-401.636708479592,-401.636708479592,-100810.8138283778,0.0,0,0.0,-0.0004462630094217689,1.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S01_q95_sp050_liqall,strategy_variant,stressed_retail,6,252,3276,-220829.96786021278,-876.3093962706856,-2874.19999377432,-220415.77504556288,-13.596641885352808,42,0.16666666666666666,-0.0010248116034213008,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S01_q95_sp050_liqmed,strategy_variant,stressed_retail,5,252,3835,-246636.7424244394,-978.7172318430136,-2874.19999377432,-246222.5496097898,-13.81117622124472,50,0.1984126984126984,-0.000858533296198466,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q70_sp050_liqall,strategy_variant,retail_marketable_default,7,252,3744,-289835.2620919781,-1150.139928936421,-2905.7658363006585,-288755.65235009184,-16.916640009963526,36,0.14285714285714285,-0.0007849270094857279,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
phase26_strategy_salvage,S05_q70_sp050_liqmed,strategy_variant,retail_marketable_default,7,252,3744,-289835.2620919781,-1150.139928936421,-2905.7658363006585,-288755.65235009184,-16.916640009963526,36,0.14285714285714285,-0.0007849270094857279,0.0,0.0,False,deterministic_252_day_tick_trade_ledger_replay_not_acceptance
