source_phase,model_id,model_type,execution_profile,synthetic_year_day,source_trade_date,cycle_ordinal,daily_trades,symbols,daily_net_pnl_inr,mean_net_return,market_shock_trade_fraction,disconnect_trade_fraction,running_net_pnl_inr,running_peak_inr,drawdown_inr
phase25_event_replay,B01,baseline,retail_marketable_default,1,2026-07-14,0,353,1,-60572.259796374055,-0.0017159280395573386,0.0,0.0,-60572.259796374055,-60572.259796374055,0.0
phase25_event_replay,B01,baseline,retail_marketable_default,2,2026-07-15,0,349,2,-84102.30703665913,-0.002409808224546107,1.0,0.0,-144674.56683303317,-60572.259796374055,-84102.30703665911
phase25_event_replay,B01,baseline,retail_marketable_default,3,2026-07-17,0,348,1,-64515.75941158092,-0.0018539011325166932,0.0,0.0,-209190.3262446141,-60572.259796374055,-148618.06644824002
phase25_event_replay,B01,baseline,retail_marketable_default,4,2026-07-23,0,346,1,-63205.46380281706,-0.0018267475087519382,0.0,0.0,-272395.79004743113,-60572.259796374055,-211823.53025105706
phase25_event_replay,B01,baseline,retail_marketable_default,5,2026-07-27,0,350,1,-63688.6621198662,-0.0018196760605676057,0.0,0.0,-336084.45216729736,-60572.259796374055,-275512.1923709233
phase25_event_replay,B01,baseline,retail_marketable_default,6,2026-08-07,0,350,1,-61587.05027005094,-0.0017596300077157411,0.0,0.0,-397671.5024373483,-60572.259796374055,-337099.24264097423
phase25_event_replay,B01,baseline,retail_marketable_default,7,2026-08-11,0,352,1,-63739.95354901774,-0.0018107941349152766,0.0,0.0,-461411.455986366,-60572.259796374055,-400839.19618999196
phase25_event_replay,B01,baseline,retail_marketable_default,8,2026-08-14,0,353,1,-63612.4427607411,-0.0018020522028538554,0.0,0.0,-525023.8987471071,-60572.259796374055,-464451.63895073306
phase25_event_replay,B01,baseline,retail_marketable_default,9,2026-07-14,1,353,1,-60572.259796374055,-0.0017159280395573386,0.0,0.0,-585596.1585434811,-60572.259796374055,-525023.8987471071
phase25_event_replay,B01,baseline,retail_marketable_default,10,2026-07-15,1,349,2,-84102.30703665913,-0.002409808224546107,1.0,0.0,-669698.4655801402,-60572.259796374055,-609126.2057837662
phase25_event_replay,B01,baseline,retail_marketable_default,11,2026-07-17,1,348,1,-64515.75941158092,-0.0018539011325166932,0.0,0.0,-734214.2249917211,-60572.259796374055,-673641.9651953471
phase25_event_replay,B01,baseline,retail_marketable_default,12,2026-07-23,1,346,1,-63205.46380281706,-0.0018267475087519382,0.0,0.0,-797419.6887945381,-60572.259796374055,-736847.4289981641
phase25_event_replay,B01,baseline,stressed_retail,1,2026-07-14,0,343,1,-67038.13302245151,-0.001954464519605,0.0,0.0,-67038.13302245151,-67038.13302245151,0.0
phase25_event_replay,B01,baseline,stressed_retail,2,2026-07-15,0,339,2,-84310.1918663445,-0.0024870263087417256,1.0,0.0,-151348.32488879602,-67038.13302245151,-84310.19186634451
phase25_event_replay,B01,baseline,stressed_retail,3,2026-07-17,0,338,1,-65080.21738198278,-0.0019254502184018576,0.0,0.0,-216428.5422707788,-67038.13302245151,-149390.40924832728
phase25_event_replay,B01,baseline,stressed_retail,4,2026-07-23,0,337,1,-72552.3798331896,-0.0021528896092934597,0.0,0.0,-288980.9221039684,-67038.13302245151,-221942.78908151688
phase25_event_replay,B01,baseline,stressed_retail,5,2026-07-27,0,341,1,-60526.5379770651,-0.0017749717881837272,0.0,0.0,-349507.46008103347,-67038.13302245151,-282469.327058582
phase25_event_replay,B01,baseline,stressed_retail,6,2026-08-07,0,340,1,-73855.52175441942,-0.0021722212280711594,0.0,0.0,-423362.9818354529,-67038.13302245151,-356324.8488130014
phase25_event_replay,B01,baseline,stressed_retail,7,2026-08-11,0,342,1,-71140.12334562396,-0.0020801205656615193,0.0,0.0,-494503.10518107685,-67038.13302245151,-427464.9721586254
phase25_event_replay,B01,baseline,stressed_retail,8,2026-08-14,0,343,1,-66603.12895815092,-0.0019417821853688316,0.0,0.0,-561106.2341392278,-67038.13302245151,-494068.10111677623
phase25_event_replay,B01,baseline,stressed_retail,9,2026-07-14,1,343,1,-67038.13302245151,-0.001954464519605,0.0,0.0,-628144.3671616793,-67038.13302245151,-561106.2341392278
phase25_event_replay,B01,baseline,stressed_retail,10,2026-07-15,1,339,2,-84310.1918663445,-0.0024870263087417256,1.0,0.0,-712454.5590280239,-67038.13302245151,-645416.4260055723
phase25_event_replay,B01,baseline,stressed_retail,11,2026-07-17,1,338,1,-65080.21738198278,-0.0019254502184018576,0.0,0.0,-777534.7764100067,-67038.13302245151,-710496.6433875551
phase25_event_replay,B01,baseline,stressed_retail,12,2026-07-23,1,337,1,-72552.3798331896,-0.0021528896092934597,0.0,0.0,-850087.1562431962,-67038.13302245151,-783049.0232207447
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,1,2026-07-14,0,368,1,-34612.1321131455,-0.0009405470682919973,0.0,0.0,-34612.1321131455,-34612.1321131455,0.0
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,2,2026-07-15,0,370,2,-55359.5538468856,-0.0014962041580239352,1.0,0.0,-89971.6859600311,-34612.1321131455,-55359.5538468856
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,3,2026-07-17,0,369,1,-29262.865110258135,-0.0007930315748037435,0.0,0.0027100271002710027,-119234.55107028924,-34612.1321131455,-84622.41895714373
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,4,2026-07-23,0,368,1,-26788.50709062224,-0.0007279485622451695,0.0,0.002717391304347826,-146023.0581609115,-34612.1321131455,-111410.926047766
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,5,2026-07-27,0,367,1,-36332.252121031364,-0.0009899796218264677,0.0,0.0027247956403269754,-182355.31028194286,-34612.1321131455,-147743.17816879737
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,6,2026-08-07,0,371,1,-34915.28451677228,-0.0009411127902094952,0.0,0.0,-217270.59479871514,-34612.1321131455,-182658.46268556966
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,7,2026-08-11,0,368,1,-30430.586542079825,-0.000826918112556517,0.0,0.0,-247701.18134079498,-34612.1321131455,-213089.0492276495
phase25_event_replay,B01,baseline,zero_latency_spread_only_control,8,2026-08-14,0,370,1,-37404.61229570443,-0.0010109354674514711,0.0,0.0,-285105.79363649944,-34612.1321131455,-250493.66152335395
