symbol,category,real_metric,synthetic_metric,real_phase152_value,synthetic_phase106_value,synthetic_to_real_ratio,gap_flag,metric_basis
ADANIPORTS,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,1000.0,500.0,0.5,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
ADANIPORTS,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,5500.0,792.0,0.144,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
ADANIPORTS,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,267.9032118680685,806.0,3.0085492233550464,synthetic_high_vs_real,proxy_only_depth_aggregation_differs
HCLTECH,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,500.0,500.0,1.0,within_band,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
HCLTECH,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,4158.799999999999,792.0,0.19043954987015488,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
HCLTECH,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,732.3411467231599,810.0,1.1060419090533455,within_band,proxy_only_depth_aggregation_differs
HDFCBANK,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,500.0,500.0,1.0,within_band,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
HDFCBANK,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,1250.0,792.0,0.6336,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
HDFCBANK,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,2056.8538057231845,808.0,0.39283297517390126,synthetic_low_vs_real,proxy_only_depth_aggregation_differs
INFY,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,500.0,500.0,1.0,within_band,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
INFY,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,2627.0999999999917,792.0,0.30147310722850384,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
INFY,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,1258.7262611920837,810.0,0.6435076672134297,synthetic_low_vs_real,proxy_only_depth_aggregation_differs
RELIANCE,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,500.0,500.0,1.0,within_band,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
RELIANCE,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,4324.0,792.0,0.18316373728029603,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
RELIANCE,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,1351.141272643537,810.0,0.5994931961594346,synthetic_low_vs_real,proxy_only_depth_aggregation_differs
TCS,received_tick_cadence_median_gap,median_gap_ms,median_gap_ms,500.0,500.0,1.0,within_band,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
TCS,received_tick_cadence_tail_gap,p95_gap_ms,p95_gap_ms,1250.0,792.0,0.6336,synthetic_low_vs_real,phase152_full_local_partition_vs_phase106_calibrated_synthetic_anchor
TCS,displayed_l1_depth_scale_proxy,avg_best_bid_qty_plus_avg_best_ask_qty,median_l1_depth,655.7953217977899,810.0,1.235141473378424,within_band,proxy_only_depth_aggregation_differs
