symbol,metric,phase152_full_partition_value,phase106_sampled_anchor_value,sampled_to_full_ratio,sample_bias_flag,interpretation
ADANIPORTS,median_gap_ms,1000.0,1000.0,1.0,within_band,no_large_sample_bias_flag
ADANIPORTS,p95_gap_ms,5500.0,451864.4,82.15716363636363,sampled_high_vs_full,older_sampled_anchor_may_overstate_tail_cadence_gap
HCLTECH,median_gap_ms,500.0,500.0,1.0,within_band,no_large_sample_bias_flag
HCLTECH,p95_gap_ms,4158.799999999999,437735.8,105.25531403289412,sampled_high_vs_full,older_sampled_anchor_may_overstate_tail_cadence_gap
HDFCBANK,median_gap_ms,500.0,499.0,0.998,within_band,no_large_sample_bias_flag
HDFCBANK,p95_gap_ms,1250.0,1250.0,1.0,within_band,no_large_sample_bias_flag
INFY,median_gap_ms,500.0,500.0,1.0,within_band,no_large_sample_bias_flag
INFY,p95_gap_ms,2627.0999999999917,1774.9999999999773,0.6756499562254893,within_band,no_large_sample_bias_flag
RELIANCE,median_gap_ms,500.0,500.0,1.0,within_band,no_large_sample_bias_flag
RELIANCE,p95_gap_ms,4324.0,440431.4,101.85740055504164,sampled_high_vs_full,older_sampled_anchor_may_overstate_tail_cadence_gap
TCS,median_gap_ms,500.0,499.0,0.998,within_band,no_large_sample_bias_flag
TCS,p95_gap_ms,1250.0,1001.0,0.8008,within_band,no_large_sample_bias_flag
