metric,value,description
phase224_closure_rows,1,Candidate-set closure rows
phase224_current_candidate_set_closed_for_broader_replay,1,Current candidate set closed for broader replay
phase224_current_candidate_set_closed_for_test,1,Current candidate set closed for sealed test replay
phase224_reuse_without_material_redesign_allowed,0,Reuse without material redesign allowed
phase224_failure_mode_rows,4,Failure-mode rows
phase224_redesign_route_rows,3,Material redesign route rows
phase224_phase225_work_order_rows,1,Phase225 work-order rows
phase224_selected_redesign_route,P224_COST_AWARE_ACTIONABLE_EVENT_LABELS,Selected Phase225 redesign route
phase224_phase223_positive_net_validation_rows,0,Phase223 positive net validation rows
phase224_phase223_passing_interpretation_rows,0,Phase223 passing interpretation rows
phase224_forbidden_execution_rows,14,Forbidden execution rows
phase224_gate_rows,7,Gates evaluated
phase224_hard_gate_rows,7,Hard gates evaluated
phase224_hard_gate_pass_rows,7,Hard gates passed
phase224_event_only_signal_replay_closure_or_redesign_precommit_complete,1,1 means Phase224 completed
phase224_model_fit_allowed_next,0,No model fit opened
phase224_strategy_replay_allowed,0,No strategy replay opened
phase224_broader_replay_allowed_next,0,No broader replay opened
phase224_test_replay_allowed_next,0,No test replay opened
phase224_promotion_allowed,0,No promotion opened
phase224_paper_or_live_acceptance_allowed,0,Paper/live remains closed
phase224_profitability_claim_allowed,0,No profitability claim is allowed
phase224_forbidden_outputs,model_fit;model_prediction;strategy_replay;broader_replay;test_replay_execution;test_result;promotion;paper_live_acceptance;order_arrival;fill_model;pnl_replay;profitability_claim;threshold_widening;row_level_prediction_export,Outputs forbidden in this phase
phase224_next_best_action,run_phase225_cost_aware_event_source_redesign_precommit_no_fit_no_replay_no_test,Recommended next milestone
