scenario_id,trade_date,exchange,symbol,signal_ts_ms,entry_ts_ms,exit_ts_ms,side,impulse_bps,snap_side,top5_imbalance,l2_l5_imbalance,level_weighted_imbalance,spread_bps,withdrawal_pressure,entry_price,exit_price,exit_reason,quantity,buy_value_inr,sell_value_inr,gross_pnl_inr,zerodha_charges_inr,cost200_inr,net_pnl_inr
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784020499.0,1784020500.0,1784020500.0,short,11.033540786951068,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.04075536114371066,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784020749.0,1784020750.0,1784020750.0,short,11.021279934868566,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.04075536114371066,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784020999.0,1784021000.0,1784021000.0,short,11.009019082788285,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.04075536114371066,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021249.0,1784021250.0,1784021250.0,short,10.996758230710224,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.04075536114371066,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021487.0,1784021488.0,1784021488.0,short,10.986949549045555,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.0,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021612.0,1784021613.0,1784021613.0,short,10.978366952589802,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.0,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021737.0,1784021738.0,1784021738.0,short,10.999210401125836,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.0,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021862.0,1784021863.0,1784021863.0,short,10.9661061005073,-1,-0.5695324283559577,-0.5695726495726495,-0.5694210453293163,1.2247397428035403,0.0,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784021984.0,1784021985.0,1784021985.0,short,84.50179253657319,-1,-0.5745007680491552,-0.5745125348189415,-0.5744755291806279,1.2158054711235144,0.05588993981083405,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
P415_PRIMARY_DEEP_BOOK_DIVERGENCE_SNAPBACK,2026-01-01,NSE,HDFCBANK,1784022084.0,1784022085.0,1784022085.0,short,84.50669687740664,-1,-0.5745007680491552,-0.5745125348189415,-0.5744755291806279,1.2158054711235144,0.05588993981083405,815.55,816.55,stop,122,99619.09999999999,99497.09999999999,-122.0,82.6367135772,165.2734271544,-287.2734271544
