horizon_sec,trade_date,exchange,symbol,split_role,feature_file_exists,label_file_exists,joined_rows,test_rows_used
1,2026-07-08,NSE,ADANIPORTS,train,1,1,3617,0
1,2026-07-08,NSE,AXISBANK,train,1,1,5829,0
1,2026-07-08,NSE,BAJAJ-AUTO,train,1,1,3323,0
1,2026-07-08,NSE,BANKBEES,train,1,1,5645,0
1,2026-07-08,NSE,BHARTIARTL,train,1,1,3952,0
1,2026-07-08,NSE,BPCL,train,1,1,2852,0
1,2026-07-08,NSE,BRITANNIA,train,1,1,2151,0
1,2026-07-08,NSE,CIPLA,train,1,1,2953,0
1,2026-07-08,NSE,DRREDDY,train,1,1,2935,0
1,2026-07-08,NSE,GOLDBEES,train,1,1,4078,0
1,2026-07-08,NSE,HCLTECH,train,1,1,2706,0
1,2026-07-08,NSE,HDFCBANK,train,1,1,6816,0
1,2026-07-08,NSE,HINDUNILVR,train,1,1,3470,0
1,2026-07-08,NSE,ICICIBANK,train,1,1,6210,0
1,2026-07-08,NSE,INFY,train,1,1,5152,0
1,2026-07-08,NSE,ITBEES,train,1,1,2355,0
1,2026-07-08,NSE,ITC,train,1,1,4271,0
1,2026-07-08,NSE,JUNIORBEES,train,1,1,5241,0
1,2026-07-08,NSE,KOTAKBANK,train,1,1,4944,0
1,2026-07-08,NSE,LT,train,1,1,6328,0
1,2026-07-08,NSE,M&M,train,1,1,6037,0
1,2026-07-08,NSE,MARUTI,train,1,1,4917,0
1,2026-07-08,NSE,NESTLEIND,train,1,1,2943,0
1,2026-07-08,NSE,NIFTYBEES,train,1,1,5016,0
1,2026-07-08,NSE,ONGC,train,1,1,4121,0
1,2026-07-08,NSE,RELIANCE,train,1,1,6547,0
1,2026-07-08,NSE,SBIN,train,1,1,5499,0
1,2026-07-08,NSE,SUNPHARMA,train,1,1,3352,0
1,2026-07-08,NSE,TCS,train,1,1,3904,0
1,2026-07-08,NSE,TECHM,train,1,1,2802,0
1,2026-07-08,NSE,ULTRACEMCO,train,1,1,3043,0
1,2026-07-08,NSE,WIPRO,train,1,1,2625,0
1,2026-07-09,NSE,ADANIPORTS,train,1,1,5553,0
1,2026-07-09,NSE,AXISBANK,train,1,1,7446,0
1,2026-07-09,NSE,BAJAJ-AUTO,train,1,1,5049,0
1,2026-07-09,NSE,BANKBEES,train,1,1,8885,0
1,2026-07-09,NSE,BHARTIARTL,train,1,1,9411,0
1,2026-07-09,NSE,BPCL,train,1,1,4696,0
1,2026-07-09,NSE,BRITANNIA,train,1,1,4229,0
1,2026-07-09,NSE,CIPLA,train,1,1,4886,0
1,2026-07-09,NSE,DRREDDY,train,1,1,9053,0
1,2026-07-09,NSE,GOLDBEES,train,1,1,6407,0
1,2026-07-09,NSE,HCLTECH,train,1,1,5477,0
1,2026-07-09,NSE,HDFCBANK,train,1,1,9419,0
1,2026-07-09,NSE,HINDUNILVR,train,1,1,6946,0
1,2026-07-09,NSE,ICICIBANK,train,1,1,9152,0
1,2026-07-09,NSE,INFY,train,1,1,7566,0
1,2026-07-09,NSE,ITBEES,train,1,1,3872,0
1,2026-07-09,NSE,ITC,train,1,1,7309,0
1,2026-07-09,NSE,JUNIORBEES,train,1,1,8589,0
1,2026-07-09,NSE,KOTAKBANK,train,1,1,8943,0
1,2026-07-09,NSE,LT,train,1,1,9072,0
1,2026-07-09,NSE,M&M,train,1,1,7704,0
1,2026-07-09,NSE,MARUTI,train,1,1,7379,0
1,2026-07-09,NSE,NESTLEIND,train,1,1,4454,0
1,2026-07-09,NSE,NIFTYBEES,train,1,1,8019,0
1,2026-07-09,NSE,ONGC,train,1,1,5782,0
1,2026-07-09,NSE,RELIANCE,train,1,1,9017,0
1,2026-07-09,NSE,SBIN,train,1,1,7833,0
1,2026-07-09,NSE,SUNPHARMA,train,1,1,7322,0
1,2026-07-09,NSE,TCS,train,1,1,7969,0
1,2026-07-09,NSE,TECHM,train,1,1,4929,0
1,2026-07-09,NSE,ULTRACEMCO,train,1,1,3979,0
1,2026-07-09,NSE,WIPRO,train,1,1,5788,0
1,2026-07-10,NSE,ADANIPORTS,train,1,1,9546,0
1,2026-07-10,NSE,AXISBANK,train,1,1,10801,0
1,2026-07-10,NSE,BAJAJ-AUTO,train,1,1,9727,0
