phase210_control_id,phase209_model_spec_id,target_label,horizon_sec,control_type,validation_rows,validation_mse,validation_binary_accuracy,test_rows_used,strategy_replay_allowed
P210_SHUFFLED_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H1s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,1,shuffled_target_negative_control,363786,0.16303967852037374,0.7950718279428015,0,0
P210_SHUFFLED_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H5s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,5,shuffled_target_negative_control,137477,0.21210540572617143,0.6951199109669254,0,0
P210_SHUFFLED_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H15s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,15,shuffled_target_negative_control,48064,0.2414063098252765,0.5950191411451398,0,0
P210_SHUFFLED_P209_LINEAR_LOGIT_DIRECTION_BASELINE_H60s,P209_LINEAR_LOGIT_DIRECTION_BASELINE,short_horizon_direction_label,60,shuffled_target_negative_control,12059,0.24941530818538998,0.5279873953064101,0,0
P210_SHUFFLED_P209_RIDGE_RETURN_SIGN_BASELINE_H1s,P209_RIDGE_RETURN_SIGN_BASELINE,future_mid_return_bps_next_bucket,1,shuffled_target_negative_control,363786,8797.313253866785,,0,0
P210_SHUFFLED_P209_RIDGE_RETURN_SIGN_BASELINE_H5s,P209_RIDGE_RETURN_SIGN_BASELINE,future_mid_return_bps_next_bucket,5,shuffled_target_negative_control,137477,23275.5609596424,,0,0
P210_SHUFFLED_P209_RIDGE_RETURN_SIGN_BASELINE_H15s,P209_RIDGE_RETURN_SIGN_BASELINE,future_mid_return_bps_next_bucket,15,shuffled_target_negative_control,48064,66488.38800517528,,0,0
P210_SHUFFLED_P209_RIDGE_RETURN_SIGN_BASELINE_H60s,P209_RIDGE_RETURN_SIGN_BASELINE,future_mid_return_bps_next_bucket,60,shuffled_target_negative_control,12059,263451.6816978466,,0,0
P210_SHUFFLED_P209_MONOTONIC_TREE_DIAGNOSTIC_H1s,P209_MONOTONIC_TREE_DIAGNOSTIC,execution_risk_spread_widen_next_bucket,1,shuffled_target_negative_control,363786,0.14932226479893282,0.8174283782223615,0,0
P210_SHUFFLED_P209_MONOTONIC_TREE_DIAGNOSTIC_H5s,P209_MONOTONIC_TREE_DIAGNOSTIC,execution_risk_spread_widen_next_bucket,5,shuffled_target_negative_control,137477,0.1975015672973176,0.7292492562392254,0,0
P210_SHUFFLED_P209_MONOTONIC_TREE_DIAGNOSTIC_H15s,P209_MONOTONIC_TREE_DIAGNOSTIC,execution_risk_spread_widen_next_bucket,15,shuffled_target_negative_control,48064,0.2295829982408075,0.6424975033288948,0,0
P210_SHUFFLED_P209_MONOTONIC_TREE_DIAGNOSTIC_H60s,P209_MONOTONIC_TREE_DIAGNOSTIC,execution_risk_spread_widen_next_bucket,60,shuffled_target_negative_control,12059,0.24103299250273624,0.5941620366531222,0,0
