forbidden_output,emitted_in_phase210,allowed_in_phase210,rationale
strategy_replay,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
test_replay_execution,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
test_result,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
promotion,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
paper_live_acceptance,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
order_arrival,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
fill_model,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
pnl_replay,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
profitability_claim,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
threshold_widening,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
row_level_prediction_export,0,0,"Phase210 fits train/validation dry-run models only and does not run replay, test replay, fills, P&L, promotion, or paper/live acceptance."
