variant_id,strategy_id,execution_profile,threshold_quantile,spread_quantile,liquidity_quantile,trades,annual_net_pnl_inr,mean_gross_return,mean_cost_return,mean_zerodha_charge_return,mean_net_return,worst_daily_net_pnl_inr,max_drawdown_inr,positive_day_fraction,annualized_sharpe_proxy,realistic_profile,positive_after_costs,enough_trades,candidate_for_deeper_synthetic_replay
S07_q98_sp25_liq75,S07,zero_latency_spread_only_control,0.98,0.25,0.75,8624,85087.07496908131,0.0003297516270850227,0.00023108850675909352,0.0,9.866312032592915e-05,-20510.4334101879,-61080.31347184582,0.5063291139240507,1.5442433721958406,False,True,True,False
S07_q98_sp50_liq75,S07,zero_latency_spread_only_control,0.98,0.5,0.75,8624,85087.07496908131,0.0003297516270850227,0.00023108850675909352,0.0,9.866312032592915e-05,-20510.4334101879,-61080.31347184582,0.5063291139240507,1.5442433721958406,False,True,True,False
S05_q98_sp25_liq75,S05,zero_latency_spread_only_control,0.98,0.25,0.75,8285,3917.99035335484,0.0001622446422767293,0.00015751562555572167,0.0,4.7290167210076436e-06,-22170.39942440634,-71550.44746116792,0.5116279069767442,0.11266501422966466,False,True,True,False
S05_q98_sp50_liq75,S05,zero_latency_spread_only_control,0.98,0.5,0.75,8285,3917.99035335484,0.0001622446422767293,0.00015751562555572167,0.0,4.7290167210076436e-06,-22170.39942440634,-71550.44746116792,0.5116279069767442,0.11266501422966466,False,True,True,False
S07_q90_sp50_liq75,S07,zero_latency_spread_only_control,0.9,0.5,0.75,21087,-30477.02472346677,0.00018564306953713133,0.00020009606177095633,0.0,-1.4452992233824978e-05,-28679.49034936769,-121815.51688793313,0.47619047619047616,-0.3890850337216906,False,False,True,False
S07_q90_sp25_liq75,S07,zero_latency_spread_only_control,0.9,0.25,0.75,18329,-33046.75482530587,0.00019820865220010342,0.0002162384164127205,0.0,-1.8029764212617057e-05,-28679.49034936769,-128026.39233568712,0.42857142857142855,-0.43251912405318055,False,False,True,False
S07_q98_sp25_liq50,S07,zero_latency_spread_only_control,0.98,0.25,0.5,18045,-34200.79498308107,0.00017778633723419248,0.0001967393962439354,0.0,-1.8953059009742882e-05,-20970.969038173753,-138352.6212558635,0.47115384615384615,-0.48090235739972453,False,False,True,False
S07_q98_sp50_liq50,S07,zero_latency_spread_only_control,0.98,0.5,0.5,18045,-34200.79498308107,0.00017778633723419248,0.0001967393962439354,0.0,-1.8953059009742882e-05,-20970.969038173753,-138352.6212558635,0.47115384615384615,-0.48090235739972453,False,False,True,False
S07_q95_sp25_liq75,S07,zero_latency_spread_only_control,0.95,0.25,0.75,16694,-79838.79439954642,0.00018292027046679722,0.00023074511436253607,0.0,-4.782484389573881e-05,-28679.49034936769,-159065.39134142778,0.2976190476190476,-1.011947194316107,False,False,True,False
S07_q95_sp50_liq75,S07,zero_latency_spread_only_control,0.95,0.5,0.75,16694,-79838.79439954642,0.00018292027046679722,0.00023074511436253607,0.0,-4.782484389573881e-05,-28679.49034936769,-159065.39134142778,0.2976190476190476,-1.011947194316107,False,False,True,False
S01_q98_sp25_liq75,S01,retail_marketable_default,0.98,0.25,0.75,1726,-184924.47465172023,0.00011985097871562857,0.001191255814472988,0.0008268564143614933,-0.0010714048357573593,-16305.551096457883,-185057.27130440425,0.2672413793103448,-6.028745592493928,True,False,True,False
