scenario_id,trade_date,exchange,symbol,event_row,side,side_sign,score_column,signed_score,abs_score,l1_imbalance,l25_imbalance,bid_curvature,ask_curvature,bid_curvature_repair,ask_curvature_repair,entry_mid,entry_spread_bps,entry_row,exit_row,entry_price,exit_price,quantity,gross_pnl_inr,cost200_inr,net_pnl_inr,cost_model_version
P449_depth_curvature_repair_primary,2026-01-01,NSE,ADANIPORTS,156,long,1,dynamic_curvature_score,0.12396731285025517,0.12396731285025517,0.24290578887627695,0.23693379790940766,-0.18515797207935342,-0.1889638745533942,0.002288287593905397,-0.00321212630164594,1836.6,2.1779374931932027,157,158,1841.7,1830.8,54,-588.6000000000049,165.20344977999997,-753.8034497800049,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-01,NSE,ADANIPORTS,24,long,1,dynamic_curvature_score,0.1215057723824597,0.1215057723824597,0.2361275088547816,0.23097526390420672,-0.18530842078320964,-0.18844735764031134,0.002505019537753256,-0.0035131208926030832,1818.7,2.1993731786445867,25,27,1811.5,1828.2,55,918.5000000000025,165.354078002,753.1459219980024,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-01,NSE,AXISBANK,171,long,1,dynamic_curvature_score,0.025427965453607225,0.025427965453607225,0.04777415852334419,0.04839878278510361,-0.1865671641791045,-0.1866626065773447,0.00042723532307348266,-0.0008013387379819381,1336.1999999999998,1.4967819188747606,172,174,1342.8000000000002,1336.1,74,-495.8000000000202,165.1926581432,-660.9926581432202,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-01,NSE,AXISBANK,18,long,1,dynamic_curvature_score,0.019840356378613373,0.019840356378613373,0.038857142857142854,0.03966437833714721,-0.1869131455399061,-0.18646759847522237,-0.00015425225927367947,-0.0001624194693134462,1328.1999999999998,1.5057973196811136,19,20,1329.6,1328.1999999999998,75,-105.00000000000682,165.29585002000002,-270.2958500200068,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-01,NSE,BAJAJ-AUTO,725,long,1,dynamic_curvature_score,0.08797491333497484,0.08797491333497484,0.11096774193548387,0.07545219638242893,-0.17456758488148622,-0.20007451564828613,0.02393316474370119,-0.026315650400059176,10516.5,2.852660105548424,726,727,10516.5,10562.0,9,409.5,162.271232678,247.228767322,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-01,NSE,BAJAJ-AUTO,147,long,1,dynamic_curvature_score,0.08681419138898169,0.08681419138898169,0.11068211068211069,0.07524480329840233,-0.17476038338658148,-0.20022288261515603,0.023394927532787768,-0.02579686220699276,10367.0,2.8937976270859456,148,149,10357.0,10402.0,9,405.0,159.96998077199999,245.03001922800001,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,ADANIPORTS,759,long,1,dynamic_curvature_score,0.1429958881321057,0.1429958881321057,0.2717110920034394,0.2599518182861076,-0.182993445010925,-0.19249845009299443,0.005075553551604967,-0.007944425437446945,1792.9,4.462044731998184,760,761,1780.4,1789.1,56,487.1999999999898,165.33646430400003,321.86353569598975,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,ADANIPORTS,304,long,1,dynamic_curvature_score,0.1347540397020022,0.1347540397020022,0.2588575560375994,0.26635153386069843,-0.18875685557586838,-0.18301341046542202,0.0007496130393687961,-0.0008286597322841871,1835.6999999999998,4.358010568175381,305,306,1839.0,1817.8000000000002,54,-1144.7999999999902,165.1312761664,-1309.9312761663903,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,AXISBANK,865,long,1,dynamic_curvature_score,0.02927232687853959,0.02927232687853959,0.056847545219638244,0.05654522468681761,-0.18664346312812705,-0.18660170523751524,0.0005389197064296913,-0.00046079482870109434,1310.7,3.8147554741741057,866,867,1309.1,1299.7,76,-714.3999999999896,165.20238146559998,-879.6023814655896,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,AXISBANK,257,long,1,dynamic_curvature_score,0.01994567304036131,0.01994567304036131,0.038872691933916424,0.038905459732849174,-0.18696954568147778,-0.1864543982730707,0.0001632392773941449,-0.0003297038965425769,1319.1,3.790463194602381,258,259,1321.6,1316.6,75,-375.0,165.14987638,-540.14987638,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,BAJAJ-AUTO,483,long,1,dynamic_curvature_score,0.2085422863490226,0.2085422863490226,0.33356024506466986,0.21887203705385525,-0.15377738042020564,-0.23808416647291328,0.04008928624646102,-0.05901698157563398,10682.0,4.6807713911252575,484,487,10496.0,10603.0,9,963.0,162.273965492,800.726034508,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-02,NSE,BAJAJ-AUTO,296,long,1,dynamic_curvature_score,0.20533347288767445,0.20533347288767445,0.33310104529616724,0.2206935019057358,-0.15427962229667985,-0.23735687022900764,0.03813719482996447,-0.05684952710484209,10492.5,4.765308553728854,297,298,10297.0,10492.5,9,1759.5,159.95811666600002,1599.541883334,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,ADANIPORTS,154,long,1,dynamic_curvature_score,0.11878894373998732,0.11878894373998732,0.22503961965134706,0.2236563690224291,-0.18568464730290457,-0.1885558583106267,0.0028219412768904495,-0.004138817951882312,1813.1,1.6546246759690837,155,156,1811.5,1809.4,55,-115.499999999995,165.27672239400002,-280.776722393995,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,ADANIPORTS,881,long,1,dynamic_curvature_score,0.11705718432110518,0.11705718432110518,0.22575516693163752,0.2227176220806794,-0.1857638888888889,-0.18896777717094485,0.0019360755618754166,-0.0037622977188900564,1796.6,1.6698207725701577,882,883,1799.5,1794.1,55,-297.000000000005,165.12479217600003,-462.12479217600503,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,AXISBANK,99,long,1,dynamic_curvature_score,0.016418177053227137,0.016418177053227137,0.03110419906687403,0.030925695309256953,-0.18639291465378421,-0.1867237687366167,0.00036931131586165344,-0.0005860180827370054,1322.8000000000002,1.511944360447879,100,103,1319.4,1317.3000000000002,75,-157.49999999999318,165.13156003,-322.6315600299932,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,AXISBANK,849,long,1,dynamic_curvature_score,0.015861898003126818,0.015861898003126818,0.028081123244929798,0.02957717142262029,-0.18648867313915857,-0.18669527896995708,0.0006482563214223469,-0.00042505597039432796,1309.0,1.5278838808236679,850,851,1306.4,1304.3000000000002,76,-159.5999999999931,165.20087231840003,-324.8008723183931,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,BAJAJ-AUTO,886,long,1,dynamic_curvature_score,0.08370443753773574,0.08370443753773574,0.1109350237717908,0.07426999576809142,-0.1740842851516345,-0.2006398537477148,0.022053053904159514,-0.024516385749530523,10129.0,2.4681607266265178,887,888,10130.0,10154.0,9,216.0,159.527579472,56.47242052799999,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-05,NSE,BAJAJ-AUTO,138,long,1,dynamic_curvature_score,0.08278184065196251,0.08278184065196251,0.112,0.076052125614185,-0.17467248908296942,-0.19972260748959778,0.021530042562600188,-0.023225735282269816,10271.5,2.433919096529231,139,140,10276.0,10265.0,9,-99.0,159.77945962799998,-258.779459628,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P449_depth_curvature_repair_primary,2026-01-06,NSE,ADANIPORTS,89,long,1,dynamic_curvature_score,0.12296186994928925,0.12296186994928925,0.2337992376111817,0.23083446404341926,-0.18517497933314964,-0.1882716049382716,0.003359661991191254,-0.004184975936388363,1808.6,2.2116554240841735,90,92,1808.9,1806.7,55,-121.0000000000025,165.24633469600002,-286.2463346960025,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
