trade_date,symbol,parquet_files,bytes
2026-07-21,ADANIPORTS,1569,54573121
2026-07-21,AXISBANK,1567,56423451
2026-07-21,BAJAJ-AUTO,1568,55799875
2026-07-21,BANKBEES,1566,54816510
2026-07-21,BHARTIARTL,1568,55069104
2026-07-21,BPCL,1569,54310835
2026-07-21,BRITANNIA,1568,54058239
2026-07-21,CIPLA,1568,54699559
2026-07-21,DRREDDY,1569,54707905
2026-07-21,GOLDBEES,1568,54471274
2026-07-21,HCLTECH,1568,55018761
2026-07-21,HDFCBANK,1568,56478251
2026-07-21,HINDUNILVR,1566,54550394
2026-07-21,ICICIBANK,1565,56185129
2026-07-21,INFY,1568,56155639
2026-07-21,ITBEES,1569,54115847
2026-07-21,ITC,1569,55708762
2026-07-21,JUNIORBEES,1562,54700687
2026-07-21,KOTAKBANK,1568,55409892
2026-07-21,LT,1569,55004117
2026-07-21,M&M,1568,55363512
2026-07-21,MARUTI,1568,55175825
2026-07-21,NESTLEIND,1568,54501837
2026-07-21,NIFTYBEES,1568,54633121
2026-07-21,ONGC,1569,54869558
2026-07-21,RELIANCE,1568,55627621
2026-07-21,SBIN,1566,55583460
2026-07-21,SUNPHARMA,1568,54790362
2026-07-21,TCS,1569,55444595
2026-07-21,TECHM,1569,54915825
2026-07-21,ULTRACEMCO,1568,55304186
2026-07-21,WIPRO,1568,54671581
