phase296_variant_id,feed_profile,strategy_family,spread_regime,daily_event_limit,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scheduled_event_rows,best_scenario_id,above12_sparse_survivor,robust_portfolio_survivor,positive_but_below12,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,preserve_as_raw_book_state_clue,current_proxy_sweep_acceptance_closed
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,3,2,321,6,0,0,0,0,-0.0240949524133214,1.4412058670669503,2.906506686547222,13263.820196544862,6,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H3_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,6,2,294,5,0,0,0,0,-0.1375934143784132,1.0305996730061426,2.1987927603906985,9859.665949370989,5,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H6_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,3,2,109,2,0,0,0,0,-0.1265113574853506,0.8777734323815345,1.88205822224842,8140.648659725307,2,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H3_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,3,1,2,333,6,0,0,0,0,-0.0614145800804318,0.7289896895858464,1.5193939592521246,6994.035685446288,6,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL3_H1_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,6,2,100,2,0,0,0,0,0.0104511215819767,0.617495345280864,1.2245395689797514,4859.284003887902,2,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1,disconnect_scenario,P296_TOP5_PRESSURE_CONTINUATION,NOT_WIDE,1,1,2,115,2,0,0,0,0,-0.0515763201659333,0.3816276182349037,0.8148315566357408,3718.477341790087,2,P271_P296_TOP5_PRESSURE_CONTINUATION_DISCONNECT_SCENARIO_IQ85_BQ70_NOT_WIDE_DL1_H1_CAP1000000_NOT100000_CONC2_COST200,0,0,1,1,1,1,1
P296_MICROPRICE_DEPTH_REVERSAL_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H6,good_retail,P296_MICROPRICE_DEPTH_REVERSAL,NOT_WIDE,1,6,2,104,2,0,0,0,0,0.3386841713521977,0.3474602541668614,0.356236336981525,1470.1817081777224,1,P271_P296_MICROPRICE_DEPTH_REVERSAL_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,0,0,1,1,1,1,1
P296_MICROPRICE_DEPTH_REVERSAL_IDEAL_RESEARCH_IQ85_BQ70_NOT_WIDE_DL1_H6,ideal_research,P296_MICROPRICE_DEPTH_REVERSAL,NOT_WIDE,1,6,2,104,2,0,0,0,0,0.3386841713521977,0.3474602541668614,0.356236336981525,1470.1817081777224,1,P271_P296_MICROPRICE_DEPTH_REVERSAL_IDEAL_RESEARCH_IQ85_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,0,0,1,1,1,1,1
P296_MICROPRICE_DEPTH_REVERSAL_NORMAL_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H6,normal_retail,P296_MICROPRICE_DEPTH_REVERSAL,NOT_WIDE,1,6,2,104,2,0,0,0,0,0.3386841713521977,0.3474602541668614,0.356236336981525,1470.1817081777224,1,P271_P296_MICROPRICE_DEPTH_REVERSAL_NORMAL_RETAIL_IQ85_BQ70_NOT_WIDE_DL1_H6_CAP1000000_NOT100000_CONC1_COST200,0,0,1,1,1,1,1
P296_MICROPRICE_DEPTH_REVERSAL_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL3_H3,good_retail,P296_MICROPRICE_DEPTH_REVERSAL,NOT_WIDE,3,3,2,302,4,0,0,0,0,-0.2645110303692803,-0.0150959982727851,0.2343190338237101,1032.1195537472947,2,P271_P296_MICROPRICE_DEPTH_REVERSAL_GOOD_RETAIL_IQ85_BQ70_NOT_WIDE_DL3_H3_CAP1000000_NOT100000_CONC1_COST200,0,0,1,1,1,0,1
