metric,value,description
phase123_filter_label_rows,384,Filter label matrix rows
phase123_filter_label_symbols,32,Symbols covered by label matrix
phase123_filter_label_months,12,Months covered by label matrix
phase123_label_diagnostic_rows,3,Filter labels diagnosed
phase123_labels_with_class_variation,2,Labels suitable for future classifier fitting
phase123_gate_rows,4,Label matrix gates evaluated
phase123_all_gates_pass,1,1 means label matrix passes all no-replay readiness gates
phase123_filter_model_fit_allowed_next,1,1 means a future non-trading filter model fit may be attempted
phase123_strategy_replay_allowed,0,Strategy replay remains closed
phase123_next_best_action,fit_phase124_non_trading_filter_baselines_if_class_variation_present,Recommended next milestone
phase123_zerodha_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Cost model retained for future filter validation
