trade_date,trade_month,symbol,time_bucket_seconds,time_bucket_id,rows_in_bucket,bucket_start_utc_s,bucket_end_utc_s,open_mid_price,close_mid_price,avg_spread,avg_tick_size_proxy,avg_l1_imbalance,bar_return,next_bar_return
2026-01-01,2026-01,ADANIPORTS,5000,0,52830,1784020550,1784025549,1818.7,1850.1,0.39999999999982183,0.39999999999982183,0.21977539368267368,0.017265079452356114,0.006486135884546718
2026-01-01,2026-01,ADANIPORTS,5000,1,66022,1784025550,1784030549,1834.2,1862.1,0.3999999999998406,0.3999999999998406,0.21567611204547482,0.01521099116781155,-0.003651790988668635
2026-01-01,2026-01,ADANIPORTS,5000,2,63822,1784030550,1784035549,1860.9,1855.3,0.3999999999998221,0.3999999999998221,0.21152755965608322,-0.003009296576925169,-0.0038807739988142576
2026-01-01,2026-01,ADANIPORTS,5000,3,35030,1784035550,1784040549,1860.8,1848.1,0.39999999999992886,0.39999999999992886,0.2111288273784905,-0.006825021496130734,-0.0030842486878415176
2026-01-01,2026-01,ADANIPORTS,5000,4,30312,1784040550,1784044483,1857.9,1842.4,0.39999999999980135,0.39999999999980135,0.212282322665414,-0.008342752570106082,
2026-01-01,2026-01,AXISBANK,5000,0,53964,1784020500,1784025499,1316.6,1342.8000000000002,0.19999999999993648,0.19999999999993648,0.0257487517954036,0.019899741759076717,0.011989871909442895
2026-01-01,2026-01,AXISBANK,5000,1,62822,1784025500,1784030499,1336.3000000000002,1358.9,0.19999999999990284,0.19999999999990284,0.025164694589170925,0.016912369976801456,-0.002943557288983767
2026-01-01,2026-01,AXISBANK,5000,2,61804,1784030500,1784035499,1356.1,1354.9,0.19999999999994972,0.19999999999994972,0.02254687212532672,-0.000884890494801116,-0.0036165030629566886
2026-01-01,2026-01,AXISBANK,5000,3,44166,1784035500,1784040499,1357.9,1350.0,0.19999999999993215,0.19999999999993215,0.019875914483439137,-0.005817806907725265,-0.0018518518518518823
2026-01-01,2026-01,AXISBANK,5000,4,27244,1784040500,1784044983,1355.6,1347.5,0.19999999999998297,0.19999999999998297,0.019026760763413166,-0.005975213927412182,
2026-01-01,2026-01,BAJAJ-AUTO,5000,0,48862,1784020500,1784025499,10259.5,10411.5,3.0,3.0,0.10188374649116638,0.01481553681953307,0.011333621476252276
2026-01-01,2026-01,BAJAJ-AUTO,5000,1,66974,1784025500,1784030499,10367.0,10529.5,3.0,3.0,0.10422132904113608,0.015674737146715634,-0.0009022270763093809
2026-01-01,2026-01,BAJAJ-AUTO,5000,2,60270,1784030500,1784035499,10521.5,10520.0,3.0,3.0,0.10236826513367611,-0.00014256522358979673,-0.004134980988593107
2026-01-01,2026-01,BAJAJ-AUTO,5000,3,44182,1784035500,1784040499,10547.0,10476.5,3.0,3.0,0.09830911207995009,-0.006684365222338062,0.007731589748484646
2026-01-01,2026-01,BAJAJ-AUTO,5000,4,20292,1784040500,1784045499,10323.0,10557.5,3.0,3.0,0.100367380960116,0.022716264651748475,-0.007672270897466249
2026-01-01,2026-01,BAJAJ-AUTO,5000,5,3468,1784045500,1784049983,10557.5,10476.5,3.0,3.0,0.11096157588150353,-0.007672270897466249,
2026-01-01,2026-01,BANKBEES,5000,0,50930,1784020500,1784025499,598.99,606.21,0.21000000000002347,0.21000000000002347,0.3291365611085882,0.012053623599726171,0.008165487207403288
2026-01-01,2026-01,BANKBEES,5000,1,62454,1784025500,1784030499,604.2,611.16,0.21000000000002933,0.21000000000002933,0.32996757390306736,0.011519364448857816,-0.0034688134040186114
2026-01-01,2026-01,BANKBEES,5000,2,65706,1784030500,1784035499,606.46,609.04,0.2100000000000279,0.2100000000000279,0.32730002108125583,0.004254196484516637,-0.003809273610928532
2026-01-01,2026-01,BANKBEES,5000,3,39214,1784035500,1784040499,609.3299999999999,606.72,0.21000000000002642,0.21000000000002642,0.32761826313599823,-0.004283393235192556,-0.002258043248945185
2026-01-01,2026-01,BANKBEES,5000,4,24260,1784040500,1784045499,608.51,605.35,0.21000000000000954,0.21000000000000954,0.32599327515015436,-0.005193012440222744,0.0
2026-01-01,2026-01,BANKBEES,5000,5,1484,1784045500,1784046983,605.35,605.35,0.21000000000003638,0.21000000000003638,0.328083989501306,0.0,
2026-01-01,2026-01,BHARTIARTL,5000,0,53414,1784020500,1784025499,1901.5,1930.6999999999998,0.30000000000011323,0.30000000000011323,0.08310008036449977,0.015356297659742113,0.008287149738436916
2026-01-01,2026-01,BHARTIARTL,5000,1,62988,1784025500,1784030499,1922.1999999999998,1946.6999999999998,0.3000000000001097,0.3000000000001097,0.08329169819722439,0.012745812090313224,-0.0010273796681563585
2026-01-01,2026-01,BHARTIARTL,5000,2,63722,1784030500,1784035499,1945.6999999999998,1944.6999999999998,0.30000000000009147,0.30000000000009147,0.08076925898079755,-0.000513953846944526,-0.003136730601120963
2026-01-01,2026-01,BHARTIARTL,5000,3,44132,1784035500,1784040499,1946.4,1938.6,0.3000000000000864,0.3000000000000864,0.07895603631831315,-0.004007398273736196,-0.0013927576601669989
2026-01-01,2026-01,BHARTIARTL,5000,4,18808,1784040500,1784045499,1947.5,1935.9,0.3000000000000467,0.3000000000000467,0.0760889066749602,-0.005956354300385103,-0.003202644764709106
