trade_month,trade_date,feed_profile,global_time_bucket_id,symbols_present,fresh_symbols,total_rows,max_staleness_seconds,median_staleness_seconds,expected_symbols,coverage_fraction,fresh_fraction,coverage_pass
2026-02,2026-02-04,disconnect_scenario,357391,32,32,89532,17.0,9.0,32,1.0,1.0,True
2026-02,2026-02-04,disconnect_scenario,357392,16,0,6468,4985.0,4517.0,32,0.5,0.0,False
2026-02,2026-02-04,good_retail,357391,32,32,92012,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-04,good_retail,357392,32,0,3988,4917.0,4867.0,32,1.0,0.0,False
2026-02,2026-02-04,ideal_research,357391,32,32,93312,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-04,ideal_research,357392,32,0,2688,4917.0,4917.0,32,1.0,0.0,False
2026-02,2026-02-04,normal_retail,357391,32,32,88012,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-04,normal_retail,357392,32,0,7988,4917.0,4767.0,32,1.0,0.0,False
2026-02,2026-02-04,stressed_retail,357391,32,32,82320,17.0,1.0,32,1.0,1.0,True
2026-02,2026-02-04,stressed_retail,357392,27,0,13680,4767.0,4517.0,32,0.84375,0.0,False
2026-02,2026-02-05,disconnect_scenario,357408,25,25,14500,1.0,1.0,32,0.78125,0.78125,False
2026-02,2026-02-05,disconnect_scenario,357409,32,0,81500,3517.0,3517.0,32,1.0,0.0,False
2026-02,2026-02-05,good_retail,357408,32,32,18600,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-05,good_retail,357409,32,0,77400,3517.0,3467.0,32,1.0,0.0,False
2026-02,2026-02-05,ideal_research,357408,32,32,22400,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-05,ideal_research,357409,32,0,73600,3517.0,3517.0,32,1.0,0.0,False
2026-02,2026-02-05,normal_retail,357408,32,32,12100,1.0,1.0,32,1.0,1.0,True
2026-02,2026-02-05,normal_retail,357409,32,0,83900,3517.0,3317.0,32,1.0,0.0,False
2026-02,2026-02-05,stressed_retail,357408,24,24,8250,1.0,1.0,32,0.75,0.75,False
2026-02,2026-02-05,stressed_retail,357409,32,0,87750,3517.0,3267.0,32,1.0,0.0,False
