symbol,instrument_class,current_sample_days_available,current_row_count,current_file_count,current_event_rate_per_second,current_stale_gap_gt_15s_count,current_duplicate_receive_ms,dense_1s_full_session_symbols,criterion_id,acceptance_threshold,capture_contract_status,acceptance_requirement_met_after_contract,blocking_gap_after_contract,required_capture_action
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,connection_boundary_log,connection/session ledger exists and reconciles to ticks,connection_boundary_ledger_required,False,Current compact sample does not include a connection/session boundary ledger.,Record connection open/close/reconnect/subscription boundaries and reconcile them to tick files.
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,dropped_message_diagnostics,drop/duplicate/stale counters are present per symbol/session/day,dropped_message_diagnostics_required,False,"Duplicate/stale symptoms exist in Stage A1, but explicit dropped-message broker/session diagnostics are not available.",Persist dropped/duplicate/stale/out-of-order counters per connection session and symbol.
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,local_sequence_integrity,monotonic local sequence and no unaccounted sequence gaps,local_sequence_contract_required,False,Stage A1 verifies ordering after persistence but does not prove explicit callback local sequence IDs.,Persist monotonic local sequence IDs at callback ingress and audit gaps by session/day/symbol.
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,lossless_compaction,row counts and ordering reconcile raw files to compact parquet,lossless_multiday_compaction_required,False,"One-day compaction reconciles current raw input, but Stage A2 requires repeatable multi-day lossless compaction.",Reconcile raw rows/files to compact parquet for every new Class B day without resampling.
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,multiday_class_b_coverage,minimum 5 diagnostically sound complete days,missing_required_multiday_capture,False,Only one current real sample day is available; Stage A2 requires at least 5-10 complete Class B days.,Continue Class B collection until at least 5 complete diagnostically sound days are available.
ADANIPORTS,equity,1,13886,1569,0.6088482941308139,2,372,0,timestamp_semantics,timestamp provenance and ordering checks pass,timestamp_semantics_contract_required,False,"Receive timestamps are audited, but exchange/receive/monotonic timestamp semantics require a capture-side contract.","Document timestamp sources and validate exchange, receive and monotonic ordering semantics per day."
AXISBANK,equity,1,18309,1569,0.803904475652219,2,785,0,connection_boundary_log,connection/session ledger exists and reconciles to ticks,connection_boundary_ledger_required,False,Current compact sample does not include a connection/session boundary ledger.,Record connection open/close/reconnect/subscription boundaries and reconcile them to tick files.
AXISBANK,equity,1,18309,1569,0.803904475652219,2,785,0,dropped_message_diagnostics,drop/duplicate/stale counters are present per symbol/session/day,dropped_message_diagnostics_required,False,"Duplicate/stale symptoms exist in Stage A1, but explicit dropped-message broker/session diagnostics are not available.",Persist dropped/duplicate/stale/out-of-order counters per connection session and symbol.
AXISBANK,equity,1,18309,1569,0.803904475652219,2,785,0,local_sequence_integrity,monotonic local sequence and no unaccounted sequence gaps,local_sequence_contract_required,False,Stage A1 verifies ordering after persistence but does not prove explicit callback local sequence IDs.,Persist monotonic local sequence IDs at callback ingress and audit gaps by session/day/symbol.
AXISBANK,equity,1,18309,1569,0.803904475652219,2,785,0,lossless_compaction,row counts and ordering reconcile raw files to compact parquet,lossless_multiday_compaction_required,False,"One-day compaction reconciles current raw input, but Stage A2 requires repeatable multi-day lossless compaction.",Reconcile raw rows/files to compact parquet for every new Class B day without resampling.
AXISBANK,equity,1,18309,1569,0.803904475652219,2,785,0,multiday_class_b_coverage,minimum 5 diagnostically sound complete days,missing_required_multiday_capture,False,Only one current real sample day is available; Stage A2 requires at least 5-10 complete Class B days.,Continue Class B collection until at least 5 complete diagnostically sound days are available.
