metric,value,description
phase357_full_depth_market_neutral_fade_precommit_complete,1,Phase357 precommit completed
phase357_phase356_complete,1,Phase356 evidence present
phase357_best_full_depth_scenario,P356_CONTROL_DEPTH_2_5_FADE_VARIANT,Best full-depth scenario
phase357_best_full_depth_trade_rows,12,Best full-depth trade rows
phase357_best_full_depth_annualized_pct,26.235235651058197,Best full-depth annualized return
phase357_best_full_depth_net_pnl_inr,1821.8913646568187,Best full-depth net PnL
phase357_event_floor_required,30,Required event floor
phase357_execution_allowed_next,1,Phase358 execution allowed
phase357_strategy_promotion_allowed,0,No promotion
phase357_paper_or_live_acceptance_allowed,0,No paper/live
phase357_deployable_profitability_claim_allowed,0,No deployable claim
phase357_next_best_action,run_phase358_full_depth_market_neutral_fade_execution_no_paper_live_or_restore_phase350_real_dates,Recommended next milestone
