phase360_work_order_id,family_id,source_id,symbol,announcement_time_ist,announcement_date,market_session,diagnostic_trade_date,diagnostic_start_rule,description,status,start_ms,entry_ms,exit_ms,entry_delay_ms,holding_ms,forced_exit,entry_mid,exit_mid,quantity,proxy_symbol,lookback_seconds,proxy_pre_return_bps,market_neutral_gate,entry_top5_qty_imbalance,entry_l2_l5_qty_imbalance,top5_gate,deep_gate,eligible_for_primary,zerodha_charges_2x_inr,cost_model_version,initial_capital_inr,fixed_notional_inr,max_concurrent_positions
P359_2026-07-17_BPCL_106701384,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BPCL,17-Jul-2026 14:13:29,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,filled,1784277809000,1784277815047,1784278723067,6047,908020,0,314.025,314.275,318,NIFTYBEES,900,10.708970123786948,0,-0.7945812362496609,-0.912580960306835,1,1,0,165.33898971280001,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-17_BRITANNIA_106700938,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 00:04:13,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,Updates,filled,1784259900000,1784259905012,1784260812813,5012,907801,0,5314.5,5327.75,18,NIFTYBEES,900,0.0,1,-0.7217391304347827,-0.7463414634146341,1,1,1,162.47068412599998,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-17_BRITANNIA_106700956,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 02:41:00,2026-07-17,pre_open_or_overnight,2026-07-17,market_open_same_day,General Updates,filled,1784259900000,1784259905012,1784260812813,5012,907801,0,5314.5,5327.75,18,NIFTYBEES,900,0.0,1,-0.7217391304347827,-0.7463414634146341,1,1,1,162.47068412599998,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-17_SBIN_106701118,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,SBIN,17-Jul-2026 10:23:45,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,General Updates,filled,1784264025000,1784264025212,1784264925700,212,900488,0,1039.85,1041.8,96,NIFTYBEES,900,13.985505930217444,0,-0.14161741602453803,-0.12124600638977635,0,0,0,165.3398463808,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-17_TECHM_106701371,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,TECHM,17-Jul-2026 13:57:27,2026-07-17,regular_session,2026-07-17,first_real_tick_after_announcement,Copy of Newspaper Publication,filled,1784276847000,1784276851336,1784277751987,4336,900651,0,1575.25,1575.15,63,NIFTYBEES,900,-6.350358341651754,0,-0.727414892337303,-0.7393775022601059,1,1,0,165.2023936624,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-20_AXISBANK_106703402,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,AXISBANK,20-Jul-2026 15:19:45,2026-07-20,regular_session,2026-07-20,first_real_tick_after_announcement,Copy of Newspaper Publication,filled,1784540985000,1784540985116,1784541600852,116,615736,1,1257.35,1257.05,79,NIFTYBEES,900,-0.3629105425509311,1,-0.16180371352785147,-0.2564062742661904,0,1,0,165.2188931312,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-20_BAJAJ-AUTO_106701591,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BAJAJ-AUTO,17-Jul-2026 16:27:40,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",filled,1784519100000,1784519105818,1784520011861,5818,906043,0,10425.75,10443.25,9,NIFTYBEES,900,0.0,1,-0.06666666666666667,0.08571428571428572,0,0,0,160.081169652,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-20_BHARTIARTL_106701559,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 16:13:26,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,filled,1784519100000,1784519105818,1784520011861,5818,906043,0,1903.5,1934.95,52,NIFTYBEES,900,0.0,1,0.6293706293706294,0.5,1,1,1,165.2713503128,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-20_BHARTIARTL_106702038,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BHARTIARTL,17-Jul-2026 19:31:45,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Action(s) taken or orders passed,filled,1784519100000,1784519105818,1784520011861,5818,906043,0,1903.5,1934.95,52,NIFTYBEES,900,0.0,1,0.6293706293706294,0.5,1,1,1,165.2713503128,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
P359_2026-07-20_BRITANNIA_106701684,P357_FULL_DEPTH_MARKET_NEUTRAL_FADE,NSE_CORPORATE_ANNOUNCEMENTS,BRITANNIA,17-Jul-2026 16:58:52,2026-07-17,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,filled,1784519100000,1784519105819,1784520012861,5819,907042,0,5406.25,5422.0,18,NIFTYBEES,900,0.0,1,-0.43825665859564167,-0.5157894736842106,1,1,1,162.820244702,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,250000.0,100000.0,2
