gate_id,passed,observed_value,required_value,severity
P334_PHASE333_COMPLETE,True,1,1,hard
P334_NEAR_MISS_PRESERVED,True,1,1,hard
P334_COST200_NOT_ALREADY_ACCEPTED,True,0,0,hard
P334_BEST_COST200_WITHIN_REDESIGN_RANGE,True,11.517554062957867,>=10 and <12,hard
P334_DESIGN_LANES_PRESENT,True,4,>=4,hard
P334_CONTRACT_ROWS_PRESENT,True,14,>=12,hard
P334_WORK_ORDER_PRESENT,True,9,>=9,hard
P334_FULL_DEPTH_REQUIRED,True,all,all=1,hard
P334_LEVELS_2_TO_5_REQUIRED,True,all,all=1,hard
P334_NO_REPLAY_OR_CLAIM,True,replay=0;claim=0,both_zero,hard
