event_id,symbol,rows,relative_second_min,relative_second_max,distinct_relative_seconds,duplicate_event_symbol_second_rows,non_crossed_l1_rows,bid_depth_monotonic_rows,ask_depth_monotonic_rows,positive_depth_quantity_rows,positive_depth_order_rows
P306_EVT_0002,ADANIPORTS,85930,-900,1800,2701,83229,85930,85930,85930,85930,85930
P306_EVT_0002,AXISBANK,86352,-900,1800,2701,83651,86352,86352,86352,86352,86352
P306_EVT_0002,BAJAJ-AUTO,84440,-900,1800,2701,81739,84440,84440,84440,84440,84440
P306_EVT_0002,BANKBEES,89892,-900,1800,2701,87191,89892,89892,89892,89892,89892
P306_EVT_0002,BHARTIARTL,85327,-900,1800,2701,82626,85327,85327,85327,85327,85327
P306_EVT_0002,BPCL,85675,-900,1800,2701,82974,85675,85675,85675,85675,85675
P306_EVT_0002,BRITANNIA,84434,-900,1800,2701,81733,84434,84434,84434,84434,84434
P306_EVT_0002,CIPLA,87819,-900,1800,2701,85118,87819,87819,87819,87819,87819
P306_EVT_0002,DRREDDY,86138,-900,1800,2701,83437,86138,86138,86138,86138,86138
P306_EVT_0002,GOLDBEES,86554,-900,1800,2701,83853,86554,86554,86554,86554,86554
P306_EVT_0002,HCLTECH,84900,-900,1800,2701,82199,84900,84900,84900,84900,84900
P306_EVT_0002,HDFCBANK,81606,-900,1800,2701,78905,81606,81606,81606,81606,81606
P306_EVT_0002,HINDUNILVR,79410,-900,1800,2701,76709,79410,79410,79410,79410,79410
P306_EVT_0002,ICICIBANK,78383,-900,1800,2701,75682,78383,78383,78383,78383,78383
P306_EVT_0002,INFY,86901,-900,1800,2701,84200,86901,86901,86901,86901,86901
P306_EVT_0002,ITBEES,84640,-900,1800,2701,81939,84640,84640,84640,84640,84640
P306_EVT_0002,ITC,86816,-900,1800,2701,84115,86816,86816,86816,86816,86816
P306_EVT_0002,JUNIORBEES,84742,-900,1800,2701,82041,84742,84742,84742,84742,84742
P306_EVT_0002,KOTAKBANK,81137,-900,1800,2701,78436,81137,81137,81137,81137,81137
P306_EVT_0002,LT,84090,-900,1800,2701,81389,84090,84090,84090,84090,84090
P306_EVT_0002,M&M,80859,-900,1800,2701,78158,80859,80859,80859,80859,80859
P306_EVT_0002,MARUTI,84687,-900,1800,2701,81986,84687,84687,84687,84687,84687
P306_EVT_0002,NESTLEIND,88082,-900,1800,2701,85381,88082,88082,88082,88082,88082
P306_EVT_0002,NIFTYBEES,84352,-900,1800,2701,81651,84352,84352,84352,84352,84352
P306_EVT_0002,ONGC,82748,-900,1800,2701,80047,82748,82748,82748,82748,82748
P306_EVT_0002,RELIANCE,82550,-900,1800,2701,79849,82550,82550,82550,82550,82550
P306_EVT_0002,SBIN,84692,-900,1800,2701,81991,84692,84692,84692,84692,84692
P306_EVT_0002,SUNPHARMA,86902,-900,1800,2701,84201,86902,86902,86902,86902,86902
P306_EVT_0002,TCS,87069,-900,1800,2701,84368,87069,87069,87069,87069,87069
P306_EVT_0002,TECHM,88790,-900,1800,2701,86089,88790,88790,88790,88790,88790
P306_EVT_0002,ULTRACEMCO,87316,-900,1800,2701,84615,87316,87316,87316,87316,87316
P306_EVT_0002,WIPRO,88549,-900,1800,2701,85848,88549,88549,88549,88549,88549
