phase292_variant_id,repair_family,market_bucket,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,486,3,0,0,0,0,-2.854728376540034,-0.007710781307923131,5.678613627848375,180.27344850312303
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,302,2,0,0,0,0,1.425203930939576,2.132255372431882,5.678613627848375,180.27344850312303
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,332,2,0,0,0,0,1.4289113605622747,2.1341090872432313,5.678613627848375,180.27344850312303
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,189,2,0,0,0,0,1.3853070153976197,2.1123069146609037,5.678613627848375,180.27344850312303
P292_EXHAUSTION_BREADTH_P55_S45_I25_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,204,2,0,0,0,0,1.38596238309866,2.112634598511424,5.678613627848375,180.27344850312303
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_ALL_ORIG_H10,exhaustion_reversal_breadth_repair,ALL,ORIG,10,4,139,2,0,0,0,0,2.630041826859831,5.260972641526061,5.26186162933246,167.04322632801455
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,6,2,0,0,0,0,2.3776329065471367,4.761176134344567,4.767086455594861,113.50205846654433
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,6,2,0,0,0,0,2.3776329065471367,4.761176134344567,4.767086455594861,113.50205846654433
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,486,3,0,0,0,0,-3.3376769189695614,-0.5244323707112319,4.577624355094195,145.32140809822843
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,302,2,0,0,0,0,0.7543917474358351,1.5216019624914663,4.577624355094195,145.32140809822843
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,332,2,0,0,0,0,0.7580991770585338,1.5234556773028156,4.577624355094195,145.32140809822843
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,189,2,0,0,0,0,0.7144948318938792,1.5016535047204884,4.577624355094195,145.32140809822843
P292_EXHAUSTION_BREADTH_P55_S45_I25_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,204,2,0,0,0,0,0.7151501995949195,1.5019811885710086,4.577624355094195,145.32140809822843
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_ALL_ORIG_H8,exhaustion_reversal_breadth_repair,ALL,ORIG,8,4,139,2,0,0,0,0,2.0795471904827405,4.160040715986771,4.16098705100806,132.0948270161289
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,243,2,0,0,0,0,-1.6197037754593058,0.18977849775436118,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,243,2,0,0,0,0,-1.6197037754593058,0.18977849775436118,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,155,2,0,0,0,0,-1.694170440327997,0.1525451653200156,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,155,2,0,0,0,0,-1.694170440327997,0.1525451653200156,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,182,2,0,0,0,0,-1.690463010705298,0.15439888013136505,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,182,2,0,0,0,0,-1.690463010705298,0.15439888013136505,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,47,2,0,0,0,0,-1.734067355869953,0.13259670754903752,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,47,2,0,0,0,0,-1.734067355869953,0.13259670754903752,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P55_S45_I25_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_breadth_repair,OPEN,INV,10,4,62,2,0,0,0,0,-1.7334119881689134,0.13292439139955736,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P55_S45_I25_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,10,4,62,2,0,0,0,0,-1.7334119881689134,0.13292439139955736,3.9985215419360562,126.93719180749386
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,6,2,0,0,0,0,1.7621387536447086,3.529740641292456,3.535203775295494,84.17151845941652
P292_EXHAUSTION_BREADTH_P55_S45_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,8,4,6,2,0,0,0,0,1.7621387536447086,3.529740641292456,3.535203775295494,84.17151845941652
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,243,2,0,0,0,0,-1.961006843009476,-0.2116833433591344,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P25_S25_I25_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,8,4,243,2,0,0,0,0,-1.961006843009476,-0.2116833433591344,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,155,2,0,0,0,0,-2.035473507878167,-0.24891667579347998,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P25_S25_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,8,4,155,2,0,0,0,0,-2.035473507878167,-0.24891667579347998,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,182,2,0,0,0,0,-2.0317660782554685,-0.24706296098213065,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P40_S35_I25_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,8,4,182,2,0,0,0,0,-2.0317660782554685,-0.24706296098213065,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,47,2,0,0,0,0,-2.075370423420123,-0.26886513356445785,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P40_S35_I45_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H8,exhaustion_reversal_breadth_repair,OPEN,PRESSURE_SIGN_REV,8,4,47,2,0,0,0,0,-2.075370423420123,-0.26886513356445785,3.0752803125824144,97.62794643118777
P292_EXHAUSTION_BREADTH_P55_S45_I25_NOTWIDE_OPEN_INV_H8,exhaustion_reversal_breadth_repair,OPEN,INV,8,4,62,2,0,0,0,0,-2.074715055719084,-0.26853744971393834,3.0752803125824144,97.62794643118777
