feature,is_full_depth_feature,rows,non_null_rows,missing_pct,finite_pct,unique_values,std,mean,median,p01,p99,healthy_for_search
avg_spread_bps,0,1636,1636,0.0,1.0,1635,1.3080536426362621,2.8443994205826133,2.6725913756795983,0.7931959633636642,8.277592141482748,1
bar_return_bps,0,1636,1636,0.0,1.0,1570,8.888330066343455,0.35993885539674925,0.0,-24.221864762243857,23.891814829987,1
avg_cum_top5_qty_imbalance,0,1636,1636,0.0,1.0,1636,0.2896024127106808,-0.015260431381123285,-0.020119341628216054,-0.763295529035752,0.6696597615821751,1
avg_depth_beyond_l1_qty_imbalance,1,1636,1636,0.0,1.0,1636,0.2889942847862653,-0.005222969536552247,-0.009890652333167065,-0.7198866564350032,0.720442124544688,1
avg_level_weighted_depth_imbalance,1,1636,1636,0.0,1.0,1636,0.298203603701705,-0.03268672432895823,-0.03881629212774721,-0.7504624989679927,0.6943360235563809,1
avg_depth_slope_bid,1,1636,1636,0.0,1.0,1565,1685.8609240977532,264.44062868483144,28.3125,-728.140625,4671.350625000001,1
avg_depth_slope_ask,1,1636,1636,0.0,1.0,1548,1001.784111303994,199.00071270108756,13.5625,-1136.3374999999999,4214.16125000001,1
avg_depth_convexity_bid,1,1636,1636,0.0,1.0,1565,87454.1036028431,-7159.07668075617,28.125,-36633.4975,10070.492500000004,1
avg_depth_convexity_ask,1,1636,1636,0.0,1.0,1564,7244.733234584246,-402.9630052981154,0.125,-19524.4675,11703.382500000018,1
avg_order_count_imbalance_l1_l5,1,1636,1636,0.0,1.0,1636,0.19117627943094653,0.015722365833288333,0.008547496997738314,-0.41633572714045947,0.5342339252522442,1
avg_qty_per_order_bid_l1_l5,0,1636,1636,0.0,1.0,1636,2439.933575753694,378.2572788314799,76.54975949647769,4.433955463780591,6579.589120337447,1
avg_qty_per_order_ask_l1_l5,0,1636,1636,0.0,1.0,1636,740.5350721187729,274.3577321434449,74.71809712554662,4.2980315837802285,4011.216863490568,1
top5_qty_churn_sum,1,1636,1636,0.0,1.0,1617,980889.0176042136,165058.1185819071,29228.5,1090.0,2156708.650000005,1
top5_order_churn_sum,1,1636,1636,0.0,1.0,536,212.0577624465875,293.69437652811735,250.0,37.0,1262.3000000000002,1
depth_replenishment_pressure,1,1636,1636,0.0,1.0,1481,73894.54372414794,13992.203545232274,2937.0,74.05000000000001,223852.6500000043,1
depth_withdrawal_pressure,1,1636,1636,0.0,1.0,1478,28586.53703178051,9528.433985330073,2923.5,89.35,141958.80000000127,1
l1_price_shift_abs_sum,0,1636,1636,0.0,1.0,721,22.32530038214612,4.882885085574568,1.599999999999909,0.0,45.65000000000009,1
volume_increment_sum,0,1636,1636,0.0,1.0,1559,46856.37066951417,16262.808068459657,4808.0,69.4,217079.95000000016,1
