feature,is_full_depth_feature,label,usable_pair_rows,pearson_ic,spearman_ic,abs_spearman_ic,top_minus_bottom_future_return_bps
avg_order_count_imbalance_l1_l5,1,future_return_h10,1316,0.1181503067736828,0.1475390528147801,0.1475390528147801,7.431220650810085
avg_order_count_imbalance_l1_l5,1,future_return_h6,1444,0.07984628310080784,0.09844757875190142,0.09844757875190142,3.1999630074109735
avg_order_count_imbalance_l1_l5,1,future_return_h3,1540,0.056380678649220584,0.07235996412664876,0.07235996412664876,1.6064694001070732
avg_cum_top5_qty_imbalance,0,future_return_h3,1540,0.029095145876127722,0.06061128786163044,0.06061128786163044,1.6539951292003117
avg_level_weighted_depth_imbalance,1,future_return_h3,1540,0.026444024556996237,0.05939910488344169,0.05939910488344169,1.8422510459327341
avg_depth_convexity_ask,1,future_return_h6,1444,-0.049542973722727535,-0.059068947092327455,0.059068947092327455,-1.9655525406410466
avg_depth_slope_bid,1,future_return_h10,1316,-0.006975200051492278,0.05519096520176593,0.05519096520176593,5.60213537822835
avg_depth_beyond_l1_qty_imbalance,1,future_return_h3,1540,0.024226300644300168,0.052747945970628804,0.052747945970628804,1.4043476161945245
avg_depth_beyond_l1_qty_imbalance,1,future_return_h10,1316,0.021796537175509147,0.049174609508247875,0.049174609508247875,1.209741330617842
avg_depth_convexity_ask,1,future_return_h10,1316,-0.038213224859421,-0.04807909216985575,0.04807909216985575,-1.5824800371121928
avg_cum_top5_qty_imbalance,0,future_return_h6,1444,0.02219016779626919,0.04474062087954381,0.04474062087954381,1.631606217163116
avg_depth_slope_ask,1,future_return_h10,1316,-0.05079800965407379,0.04413766100658863,0.04413766100658863,2.8351434867012575
avg_depth_slope_ask,1,future_return_h3,1540,-0.04466703630460763,0.04258939526987838,0.04258939526987838,1.1924114076313896
avg_depth_beyond_l1_qty_imbalance,1,future_return_h6,1444,0.020769459216868732,0.04115934013216356,0.04115934013216356,1.6966317081033016
avg_cum_top5_qty_imbalance,0,future_return_h10,1316,0.019496532181309457,0.041053718367712023,0.041053718367712023,1.6278195073292954
avg_level_weighted_depth_imbalance,1,future_return_h6,1444,0.013711652218326832,0.03889812393957041,0.03889812393957041,1.074096349964321
depth_replenishment_pressure,1,future_return_h10,1316,-0.02767734173979237,0.036489797098199495,0.036489797098199495,3.635216296389649
avg_level_weighted_depth_imbalance,1,future_return_h10,1316,0.012907205781839117,0.03373312258419457,0.03373312258419457,2.0355103987116845
top5_order_churn_sum,1,future_return_h6,1444,0.0625375015459436,0.03227321783156968,0.03227321783156968,2.8000481926594594
avg_depth_slope_bid,1,future_return_h6,1444,0.005266718003532054,0.03152013370037015,0.03152013370037015,2.39943931889783
avg_qty_per_order_ask_l1_l5,0,future_return_h10,1316,-0.04445649847348116,0.025684401370523642,0.025684401370523642,1.5621099200063557
avg_depth_convexity_bid,1,future_return_h10,1316,0.054629215764100146,-0.02567211927600949,0.02567211927600949,1.2244395267994195
avg_depth_slope_ask,1,future_return_h6,1444,-0.1052940412271382,0.02549611263553385,0.02549611263553385,1.4867249182550095
bar_return_bps,0,future_return_h10,1316,-0.00954152520254707,0.024606078051261682,0.024606078051261682,2.105610011397017
depth_withdrawal_pressure,1,future_return_h10,1316,-0.10709377303842053,0.023856832939678437,0.023856832939678437,0.2436894238200245
depth_replenishment_pressure,1,future_return_h3,1540,0.03784228737874255,0.023172284681714613,0.023172284681714613,1.441563878886403
depth_replenishment_pressure,1,future_return_h6,1444,-0.010471779798570696,0.022723585869386543,0.022723585869386543,2.031401729977835
top5_qty_churn_sum,1,future_return_h6,1444,-0.013753277817417682,0.022343884095150875,0.022343884095150875,0.5007007628514094
top5_order_churn_sum,1,future_return_h10,1316,0.05298518156947664,0.0216917909151108,0.0216917909151108,2.754911557057494
avg_depth_convexity_bid,1,future_return_h6,1444,-0.00666739344585288,-0.020290453396043052,0.020290453396043052,1.0817947504078338
avg_depth_slope_bid,1,future_return_h3,1540,0.026455958654778847,0.019785706515558565,0.019785706515558565,1.1512691621183009
l1_price_shift_abs_sum,0,future_return_h3,1540,0.0032131713001236277,0.01872210115061898,0.01872210115061898,1.5181559018313644
avg_qty_per_order_ask_l1_l5,0,future_return_h6,1444,-0.048443012010160255,0.018447290283327217,0.018447290283327217,0.13039640181750325
depth_withdrawal_pressure,1,future_return_h6,1444,-0.12840364255869913,0.01828476089765157,0.01828476089765157,-0.5813718757230046
top5_qty_churn_sum,1,future_return_h10,1316,-0.07783981516094601,0.016810825553407537,0.016810825553407537,1.6796859925141292
l1_price_shift_abs_sum,0,future_return_h6,1444,0.02145170256753171,-0.014901452187890695,0.014901452187890695,1.6697755581800668
avg_qty_per_order_bid_l1_l5,0,future_return_h6,1444,-0.02468166231769814,0.01379105160281926,0.01379105160281926,-1.0142734785300223
avg_spread_bps,0,future_return_h6,1444,0.005949297754639968,-0.013248060739573164,0.013248060739573164,-0.4572282177425405
avg_spread_bps,0,future_return_h3,1540,0.00030638245057401696,-0.012882741499782099,0.012882741499782099,-0.8638423117053289
avg_qty_per_order_bid_l1_l5,0,future_return_h10,1316,-0.10619712220241674,0.012319278045264464,0.012319278045264464,-0.3116340523659955
volume_increment_sum,0,future_return_h10,1316,-0.05154812764077744,-0.01192436340037217,0.01192436340037217,2.334507024423747
top5_order_churn_sum,1,future_return_h3,1540,0.03310686543179273,0.010415517472771009,0.010415517472771009,0.5518939459114245
avg_depth_convexity_ask,1,future_return_h3,1540,-0.05100721477458065,-0.01032667128101636,0.01032667128101636,-0.43824790731930907
bar_return_bps,0,future_return_h3,1540,0.005069274079685375,-0.010263370748302534,0.010263370748302534,-0.7826741476918276
bar_return_bps,0,future_return_h6,1444,-0.0007205820269548807,0.008294158551250194,0.008294158551250194,0.33074433995382996
avg_qty_per_order_ask_l1_l5,0,future_return_h3,1540,-0.021719415307594043,-0.0073455462498544215,0.0073455462498544215,0.5402481706828778
avg_spread_bps,0,future_return_h10,1316,0.031410410000970154,-0.00704120650890184,0.00704120650890184,0.36744550897729683
depth_withdrawal_pressure,1,future_return_h3,1540,-0.0883245196477076,-0.006851554525656023,0.006851554525656023,-1.2033372260217532
avg_depth_convexity_bid,1,future_return_h3,1540,-0.026217490914121663,-0.006623503206015289,0.006623503206015289,0.008510710889371822
avg_qty_per_order_bid_l1_l5,0,future_return_h3,1540,-0.009845396273352198,0.005297598094529692,0.005297598094529692,-0.1537638326655651
volume_increment_sum,0,future_return_h6,1444,-0.0888955274939284,-0.0048463052303133105,0.0048463052303133105,1.39785787141861
l1_price_shift_abs_sum,0,future_return_h10,1316,0.03664891908259188,0.004233126277067596,0.004233126277067596,3.070211507038041
volume_increment_sum,0,future_return_h3,1540,-0.048780081599898356,-0.0013297827283035933,0.0013297827283035933,0.8903603976824043
top5_qty_churn_sum,1,future_return_h3,1540,-0.011771444255083948,0.0003977021873731667,0.0003977021873731667,0.09817156562718049
