trade_month,symbol,priority_bucket,realism_review_flag,candidate_generation_allowed,rows_scanned,feed_imperfection_rate,median_spread_bps,p90_spread_bps,mean_l1_depth,mean_l5_depth,one_tick_return_std,passive_min_adverse_rate,passive_max_cost_clearing_rate,cost_toxicity_label,regime_realism_risk_label,opportunity_abstention_label,p129_regime_stability_label,p129_liquidity_opportunity_label,p129_cost_toxicity_refinement_label,p129_cost_toxicity_refinement_bucket,phase129_scope,strategy_replay_allowed,forbidden_outputs,label_source,phase130_split
2026-01,ADANIPORTS,P1_clean_allowed,0,1,250000,0.007936,2.159943841459385,2.190100744633506,793.856,6747.799808,0.0001017604328108,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,AXISBANK,P1_clean_allowed,0,1,250000,0.0,1.478743068390522,1.5060240963841725,794.300928,6751.73248,7.991604116917323e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,BAJAJ-AUTO,P2_allowed_with_realism_review,1,1,250000,0.023808,2.858231707317073,2.9034599564481005,792.713728,6738.090432,9.292482583284244e-05,0.0,0.0,1,0,0,0,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,BANKBEES,P2_allowed_with_realism_review,1,1,250000,0.023808,3.4561074355688817,3.482240573076024,784.619392,6669.288576,4.4193328985576616e-05,0.9871794871794872,0.0,1,1,1,0,0,1,adverse_touch_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,BHARTIARTL,P1_clean_allowed,0,1,250000,0.007936,1.5463120457706023,1.5669069257283743,792.601984,6736.886592,5.250211309284508e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,BPCL,P1_clean_allowed,0,1,250000,0.0,1.600768368817396,1.6212710765243636,796.046592,6766.396032,7.898945348098606e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,BRITANNIA,P1_clean_allowed,0,1,250000,0.0,3.6546368204659663,3.702332469455757,788.284416,6700.623808,6.522658846952214e-05,0.0,0.0,1,0,1,0,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,CIPLA,P1_clean_allowed,0,1,250000,0.007936,2.74348422496633,2.78086763069983,791.365632,6726.51264,7.645784676488239e-05,1.0,0.0,1,0,0,1,0,1,high_adverse_wide_spread_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,DRREDDY,P1_clean_allowed,0,1,250000,0.015872,2.387964658122697,2.412545235224623,787.779584,6696.348608,6.117814396931638e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,GOLDBEES,P2_allowed_with_realism_review,1,1,250000,0.023808,0.8404773911586079,0.8502678343678259,783.25504,6657.540864,5.669373892961472e-05,0.0,0.0,1,1,0,0,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,HCLTECH,P2_allowed_with_realism_review,1,1,250000,0.023808,2.408284498675079,2.446183953032897,796.461568,6769.732928,0.0001164892089612,1.0,0.0,1,1,1,0,1,1,high_adverse_wide_spread_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,HDFCBANK,P2_allowed_with_realism_review,1,1,250000,0.055552,1.192392535622998,1.215066828674472,795.222656,6759.471936,9.861254023269296e-05,0.9756944444444444,0.0,1,1,0,0,0,1,adverse_touch_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,HINDUNILVR,P1_clean_allowed,0,1,250000,0.0,1.841112031667545,1.864280387770744,786.492672,6684.997248,7.005393270330553e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,ICICIBANK,P1_clean_allowed,0,1,250000,0.0,1.3885031935576608,1.4147273113110668,794.920576,6756.7456,8.204825062510117e-05,0.9871794871794872,0.0,1,0,0,1,0,1,adverse_touch_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,INFY,P1_clean_allowed,0,1,250000,0.015872,1.7711654268512709,1.8014772113136868,797.143296,6775.82912,9.203446244163047e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,ITC,P1_clean_allowed,0,1,250000,0.015872,1.7516202487304733,1.770224818552358,785.651328,6677.9808,7.49469033275202e-05,1.0,0.0,1,0,0,1,0,1,adverse_touch_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,KOTAKBANK,P1_clean_allowed,0,1,250000,0.0,2.574996781253145,2.624671916011096,795.762176,6763.859456,9.470690379689404e-05,0.0,0.0,1,0,0,1,1,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,LT,P1_clean_allowed,0,1,250000,0.015872,1.2489384023579957,1.2655664675508758,791.827072,6730.538048,9.323608908763526e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,M&M,P2_allowed_with_realism_review,1,1,250000,0.055552,1.2405408758221406,1.2598028408556925,793.046784,6740.842112,0.0001028971069327,0.0,0.0,1,1,0,0,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,MARUTI,P1_clean_allowed,0,1,250000,0.015872,2.842524161455372,2.8933092224231465,793.095296,6741.22272,7.796827255908339e-05,0.0,0.0,1,0,0,1,0,0,broad_cost_toxic_no_adverse_touch,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,NESTLEIND,P1_clean_allowed,0,1,250000,0.015872,2.7350427350433573,2.7708506511489586,787.619456,6694.67008,8.683047002167464e-05,1.0,0.0,1,0,0,1,0,1,high_adverse_wide_spread_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
2026-01,NIFTYBEES,P1_clean_allowed,0,1,250000,0.007936,1.4296436613181482,1.445870233147315,783.062784,6655.859136,6.587989632748593e-05,0.990990990990991,0.0,1,0,0,1,0,1,adverse_touch_cost_toxic,allowed_context_no_replay_label_matrix,0,buy_sell_signal;side;order_arrival;fill_model;pnl_replay;profitability_claim,phase79_partition_profile_plus_phase120_stage02_passive_toxicity;phase128_design_specs,train
