event_time_ist,event_type,symbol_scope,index_scope,source_url_or_file,confidence,embargo_safe_flag,event_title,expected_impact_side,source_provider,source_published_time_ist,notes
2026-07-14T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 001,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-07-14T17:52:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-07-16T17:07:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 002,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-07-16T17:07:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-07-27T20:07:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 003,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-07-27T20:07:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-07-29T18:37:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 004,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-07-29T18:37:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-07-30T20:07:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 005,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-07-30T20:07:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-08-04T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 006,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-08-04T17:52:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-08-06T17:52:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 007,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-08-06T17:52:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-08-12T17:07:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 008,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-08-12T17:07:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-08-17T18:37:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 009,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-08-17T18:37:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
2026-08-18T20:07:29+05:30,synthetic_calendar_rbi_policy_like,ALL_32_SYNTHETIC_UNIVERSE,NSE_SYNTHETIC_BREADTH,outputs/phase314/phase314_generation_work_order.csv,1.0,1,Phase315 synthetic catalyst breadth timestamp 010,timing_only_no_directional_label,SyntheticL2 Phase315 dense-coverage timestamp generator,2026-08-18T20:07:29+05:30,Synthetic-calendar catalyst timestamp generated from dense parquet timestamp coverage; not a real-world RBI/news event.
