metric,value,description
phase181_label_partition_rows,640,Label partitions materialized
phase181_label_rows,2209164,Label rows written
phase181_label_available_rows,2208464,Rows with primary labels available
phase181_quality_rows,20,Horizon/date/split quality rows
phase181_gate_rows,5,Gates evaluated
phase181_hard_gate_rows,5,Hard gates evaluated
phase181_hard_gate_pass_rows,5,Hard gates passed
phase181_labels_materialized,1,1 means label parquet was materialized
phase181_strategy_replay_allowed,0,No strategy replay opened
phase181_paper_or_live_acceptance_allowed,0,Paper/live remains closed
phase181_forbidden_outputs,signal;side;order;order_arrival;fill_model;pnl_replay;profitability_claim;paper_live_acceptance,Outputs forbidden in this phase
phase181_next_best_action,build_phase182_label_quality_leakage_audit_no_replay,Recommended next milestone
