horizon_sec,trade_date,split_role,partitions,rows,label_available_rows,availability_fraction
1,2026-07-08,train,32,135666,135634,0.9997641266050448
1,2026-07-09,train,32,222167,222135,0.9998559642071054
1,2026-07-10,train,32,335771,335734,0.9998898058498202
1,2026-07-13,validation,32,363819,363786,0.9999092955563068
1,2026-07-14,test_untouched,32,370549,370500,0.9998677637775301
1,2026-07-15,unassigned,32,365743,365701,0.9998851652663209
5,2026-07-08,train,32,52467,52435,0.9993900928202489
5,2026-07-09,train,32,79436,79404,0.9995971599778438
5,2026-07-10,train,32,136471,136434,0.9997288801283789
5,2026-07-13,validation,32,137509,137477,0.9997672879593336
5,2026-07-14,test_untouched,32,136919,136873,0.9996640349403662
5,2026-07-15,unassigned,32,137136,137094,0.9996937346867344
15,2026-07-08,train,32,18688,18656,0.9982876712328768
15,2026-07-09,train,32,27492,27460,0.998836025025462
15,2026-07-10,train,32,48085,48053,0.9993345118020173
15,2026-07-13,validation,32,48096,48064,0.9993346640053227
15,2026-07-14,test_untouched,32,48081,48036,0.9990640793660698
15,2026-07-15,unassigned,32,48095,48058,0.9992306892608379
60,2026-07-08,train,32,4736,4704,0.9932432432432432
60,2026-07-09,train,32,6943,6911,0.9953910413365981
60,2026-07-10,train,32,12087,12055,0.9973525275088938
60,2026-07-13,validation,32,12091,12059,0.9973534033578695
60,2026-07-14,test_untouched,32,12091,12054,0.9969398726325366
60,2026-07-15,unassigned,32,12095,12058,0.996940884663084
