canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price,scenario_id,scenario_role,side,side_sign,quantity,buy_value_inr,sell_value_inr,gross_pnl_inr,cost200_inr,net_pnl_inr,capacity_selected,cost_model_version
P341_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,120,900,ready,1783504529000,1783504532045,1783504654585,1783504799991,1,1017.95,1018.85,1019.25,8.841298688539354,1.0,9632.0,12856.0,0.3347176079734219,0.163036714374611,0.2959317585301837,0.1388888888888889,1018.9,1018.6,1018.8,1019.9,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,98,99950.2,99842.4,-107.80000000000292,165.34389599120004,-273.1438959912029,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,120,900,ready,1783584521000,1783584521479,1783584643989,1783585545928,0,1931.3,1929.85,1935.5,-7.507896235696399,-1.0,737.0,1666.0,1.2605156037991858,-0.2376950780312124,-0.3355048859934853,-0.2777777777777778,1929.9,1935.3,1929.8,1935.7,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,long,1.0,51,98424.9,98700.3,275.3999999999942,165.0528244624,110.34717553759418,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692052,existing_phase341,TCS,09-Jul-2026 15:52:21,post_close,2026-07-10,market_open_next_available_real_l2_day,Outcome of Board Meeting,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,47,97708.3,99757.5,2049.199999999997,165.03530942959992,1884.1646905703967,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692059,existing_phase341,TCS,09-Jul-2026 15:54:18,post_close,2026-07-10,market_open_next_available_real_l2_day,Dividend,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,47,97708.3,99757.5,2049.199999999997,165.03530942959992,1884.1646905703967,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-13_TCS_106695270,existing_phase341,TCS,13-Jul-2026 11:30:11,regular_session,2026-07-13,first_real_tick_after_announcement,Updates,120,900,ready,1783922411000,1783922414847,1783922535457,1783923435958,0,2159.3,2161.65,2161.55,10.883156578520394,1.0,1115.0,2966.0,1.6600896860986547,0.6156439649359406,0.6646098003629765,0.3214285714285714,2162.0,2161.4,2161.3,2161.7,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,46,99438.2,99419.8,-18.39999999999418,165.24325669600003,-183.6432566959942,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-14_BHARTIARTL_106696754,existing_phase341,BHARTIARTL,14-Jul-2026 11:58:18,regular_session,2026-07-14,first_real_tick_after_announcement,Press Release,120,900,ready,1784010498000,1784010498095,1784010618844,1784011520346,0,1933.95,1935.75,1935.75,9.307376095555492,1.0,2693.0,3738.0,0.3880430746379502,0.4451578384162654,0.559748427672956,0.1914893617021276,1936.0,1935.7,1935.5,1935.8,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,51,98725.8,98710.5,-15.30000000000291,165.09415247560003,-180.3941524756029,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-14_KOTAKBANK_106696863,existing_phase341,KOTAKBANK,14-Jul-2026 13:02:56,regular_session,2026-07-14,first_real_tick_after_announcement,ESOP/ESOS/ESPS,120,900,ready,1784014376000,1784014376094,1784014497594,1784015398845,0,376.575,376.8,377.325,5.974905397331813,1.0,25436.0,34114.0,0.3411699952822771,0.6042680424459166,0.5863718605293017,0.4957983193277311,376.85,377.25,376.75,377.4,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,265,100011.0,99838.75,-172.25,165.351819497,-337.601819497,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-15_BHARTIARTL_106697323,existing_phase341,BHARTIARTL,14-Jul-2026 17:26:34,post_close,2026-07-15,market_open_next_available_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",120,900,ready,1784087100000,1784087105599,1784087225707,1784088127708,0,1945.55,1943.9,1940.15,-8.480892292667182,-1.0,1730.0,2747.0,0.5878612716763005,-0.4430287586457954,-0.411402157164869,-0.2307692307692307,1944.0,1940.0,1943.8,1940.3,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,long,1.0,51,99144.0,98940.0,-204.0,165.16770020800004,-369.167700208,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-16_HINDUNILVR_106699154,existing_phase341,HINDUNILVR,15-Jul-2026 19:03:06,post_close,2026-07-16,market_open_next_available_real_l2_day,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",120,900,ready,1784173500000,1784173505259,1784173631118,1784174538573,0,2102.55,2107.25,2116.6,22.353808470665705,1.0,243.0,390.0,0.6049382716049383,0.3641025641025641,0.7207792207792207,-0.0344827586206896,2107.8,2116.0,2106.7,2117.2,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,47,99508.4,99014.9,-493.5,165.22242911960006,-658.7224291196001,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P359_2026-07-20_WIPRO_106701555,unseen_phase359,WIPRO,17-Jul-2026 16:12:41,post_close,2026-07-20,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,120,900,ready,1784519100000,1784519105818,1784519226356,1784520126360,0,176.525,177.215,176.09,39.08794788273602,1.0,7570.0,8112.0,0.0715984147952443,0.3214990138067061,0.4372010386770534,0.3157894736842105,177.25,176.06,177.18,176.12,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,impulse_reversal_control,short,-1.0,564,99331.68,99929.52,597.8399999999965,165.26702969439998,432.5729703055965,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
