metric,value,description
phase366_post_catalyst_impulse_reversal_frozen_diagnostic_complete,1,Phase366 completed
phase366_primary_scenario_id,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,Frozen primary
phase366_primary_trade_rows,12,Primary selected trades
phase366_primary_dates,8,Primary dates
phase366_primary_symbols,7,Primary symbols
phase366_primary_positive_symbols,3,Primary positive symbols
phase366_primary_net_pnl_inr,3106.731736870181,Primary net PnL
phase366_primary_annualized_return_pct,39.144819884564285,Primary annualized return
phase366_primary_above12,1,Primary above 12%
phase366_primary_event_floor_met,0,Primary event floor
phase366_acceptance_candidate_rows,0,Acceptance candidates
phase366_side_flip_annualized_return_pct,-99.13225678941524,Side flip annualized return
phase366_strict_replenishment_annualized_return_pct,-3.6424119335008,Strict replenishment annualized return
phase366_weaker_depth_annualized_return_pct,30.84189916949289,Weaker depth annualized return
phase366_shorter_delay_annualized_return_pct,18.059748979575467,Shorter delay annualized return
phase366_strategy_promotion_allowed,0,No promotion
phase366_paper_or_live_acceptance_allowed,0,No paper/live
phase366_deployable_profitability_claim_allowed,0,No deployable claim
phase366_hard_gate_pass_rows,7,Passed hard gates
phase366_hard_gate_rows,7,Hard gates
phase366_next_best_action,interpret_phase366_or_expand_real_dates_for_reversal_falsification_no_paper_live,Recommended next milestone
