horizon_seconds,threshold_policy,fixed_notional_inr,cost_profile,max_concurrent_positions
60,top_25pct_abs_signal,25000,zerodha_base,1
60,top_25pct_abs_signal,25000,zerodha_base,2
60,top_25pct_abs_signal,25000,zerodha_base,4
60,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,1
60,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,2
60,top_25pct_abs_signal,25000,zerodha_plus_1bp_slippage,4
60,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,1
60,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,2
60,top_25pct_abs_signal,25000,zerodha_plus_2bp_slippage,4
60,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,1
60,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,2
60,top_25pct_abs_signal,25000,zerodha_2x_all_in_cost_proxy,4
60,top_25pct_abs_signal,50000,zerodha_base,1
60,top_25pct_abs_signal,50000,zerodha_base,2
60,top_25pct_abs_signal,50000,zerodha_base,4
60,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,1
60,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,2
60,top_25pct_abs_signal,50000,zerodha_plus_1bp_slippage,4
60,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,1
60,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,2
60,top_25pct_abs_signal,50000,zerodha_plus_2bp_slippage,4
60,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,1
60,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,2
60,top_25pct_abs_signal,50000,zerodha_2x_all_in_cost_proxy,4
60,top_25pct_abs_signal,100000,zerodha_base,1
60,top_25pct_abs_signal,100000,zerodha_base,2
60,top_25pct_abs_signal,100000,zerodha_base,4
60,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,1
60,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,2
60,top_25pct_abs_signal,100000,zerodha_plus_1bp_slippage,4
60,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,1
60,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,2
60,top_25pct_abs_signal,100000,zerodha_plus_2bp_slippage,4
60,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,1
60,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,2
60,top_25pct_abs_signal,100000,zerodha_2x_all_in_cost_proxy,4
