phase294_variant_id,continuation_family,primary_pressure_column,secondary_pressure_column,interaction_column,spread_state,market_bucket,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scenario_id,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,positive_but_below12,continuation_survivor,robust_continuation_survivor,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,current_event_universe_exhausted_for_acceptance
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_ORIG_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,ANYSPREAD,OPEN,ORIG,13,4,8,2,0,0,0,0,3.651084562806823,3.7853793311075004,7.839348198816357,93.32557379543282,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.875,2,6,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,13,4,8,2,0,0,0,0,3.651084562806823,3.7853793311075004,7.839348198816357,93.32557379543282,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.875,2,6,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_ORIG_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,NOTWIDE,OPEN,ORIG,13,4,8,2,0,0,0,0,3.651084562806823,3.7853793311075004,7.839348198816357,93.32557379543282,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.875,2,6,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,NOTWIDE,OPEN,PRESSURE_SIGN_CONT,13,4,8,2,0,0,0,0,3.651084562806823,3.7853793311075004,7.839348198816357,93.32557379543282,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I35_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.875,2,6,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_ORIG_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,ANYSPREAD,OPEN,ORIG,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.8571428571428571,2,5,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,ANYSPREAD,OPEN,PRESSURE_SIGN_CONT,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.8571428571428571,2,5,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_ORIG_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,NOTWIDE,OPEN,ORIG,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.8571428571428571,2,5,1,1,0,0,1,0,0,1,1,1
P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13,spread_compressed_absorption_continuation,spread_compression_score,replenishment_dominance,abs_level_weighted_imbalance,NOTWIDE,OPEN,PRESSURE_SIGN_CONT,13,4,7,2,0,0,0,0,3.6463847777945984,3.7818588939508753,7.834666020214304,93.26983357397982,P271_P294_P294_SPREAD_COMPRESSED_ABSORPTION_CONT_P65_S55_I55_NOTWIDE_OPEN_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.8571428571428571,2,5,1,1,0,0,1,0,0,1,1,1
P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_ORIG_H13,withdrawal_followthrough_continuation,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,NOTWIDE,ALL,ORIG,13,4,299,2,0,0,0,0,2.520923190322286,3.1312217466269967,7.4830406058634145,237.55684463058455,P271_P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_ORIG_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.9966555183946488,39,281,1,1,0,0,1,0,0,1,1,1
P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_PRESSURE_SIGN_CONT_H13,withdrawal_followthrough_continuation,depth_withdrawal_pressure,top5_churn_pressure,churn_withdraw_interaction,NOTWIDE,ALL,PRESSURE_SIGN_CONT,13,4,299,2,0,0,0,0,2.520923190322286,3.1312217466269967,7.4830406058634145,237.55684463058455,P271_P294_P294_WITHDRAWAL_FOLLOWTHROUGH_CONT_P35_S35_I35_NOTWIDE_ALL_PRESSURE_SIGN_CONT_H13_CAP100000_NOT100000_CONC1_COST200,1.0,0.9966555183946488,39,281,1,1,0,0,1,0,0,1,1,1
