feature_id,quality_check_id,check_family,definition,minimum_required_before_phase178,strategy_replay_allowed
P175_RECEIVE_EVENT_RATE_ZSCORE,P177_P175_RECEIVE_EVENT_RATE_ZSCORE_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_EVENT_RATE_ZSCORE,P177_P175_RECEIVE_EVENT_RATE_ZSCORE_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_EVENT_RATE_ZSCORE,P177_P175_RECEIVE_EVENT_RATE_ZSCORE_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_EVENT_RATE_ZSCORE,P177_P175_RECEIVE_EVENT_RATE_ZSCORE_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_EVENT_RATE_ZSCORE,P177_P175_RECEIVE_EVENT_RATE_ZSCORE_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
P175_QUOTE_CHURN_RATE,P177_P175_QUOTE_CHURN_RATE_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_QUOTE_CHURN_RATE,P177_P175_QUOTE_CHURN_RATE_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_QUOTE_CHURN_RATE,P177_P175_QUOTE_CHURN_RATE_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_QUOTE_CHURN_RATE,P177_P175_QUOTE_CHURN_RATE_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_QUOTE_CHURN_RATE,P177_P175_QUOTE_CHURN_RATE_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
P175_DEPTH_REFRESH_INTENSITY,P177_P175_DEPTH_REFRESH_INTENSITY_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_DEPTH_REFRESH_INTENSITY,P177_P175_DEPTH_REFRESH_INTENSITY_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_DEPTH_REFRESH_INTENSITY,P177_P175_DEPTH_REFRESH_INTENSITY_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_DEPTH_REFRESH_INTENSITY,P177_P175_DEPTH_REFRESH_INTENSITY_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_DEPTH_REFRESH_INTENSITY,P177_P175_DEPTH_REFRESH_INTENSITY_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
P175_STALE_QUOTE_DURATION,P177_P175_STALE_QUOTE_DURATION_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_STALE_QUOTE_DURATION,P177_P175_STALE_QUOTE_DURATION_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_STALE_QUOTE_DURATION,P177_P175_STALE_QUOTE_DURATION_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_STALE_QUOTE_DURATION,P177_P175_STALE_QUOTE_DURATION_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_STALE_QUOTE_DURATION,P177_P175_STALE_QUOTE_DURATION_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P177_P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P177_P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P177_P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P177_P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P177_P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_FLOW_REGIME_STATE,P177_P175_RECEIVE_FLOW_REGIME_STATE_COVERAGE_BY_DATE_SYMBOL_HORIZON,coverage_by_date_symbol_horizon,coverage rows must be reported for every materialized feature/date/symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_FLOW_REGIME_STATE,P177_P175_RECEIVE_FLOW_REGIME_STATE_STALENESS_AND_FORWARD_FILL,staleness_and_forward_fill,stale fraction and forward-fill fraction must be bounded and reported per symbol/horizon,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_FLOW_REGIME_STATE,P177_P175_RECEIVE_FLOW_REGIME_STATE_TRAIN_TEST_LEAKAGE,train_test_leakage,train-fitted transforms only; no future receive events in any feature timestamp,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_FLOW_REGIME_STATE,P177_P175_RECEIVE_FLOW_REGIME_STATE_BLOCKED_FAMILY_OVERLAP,blocked_family_overlap,feature names and formulas must not reproduce Phase164/Phase167/Phase131-136 blocked strategy forms,pass_or_emit_blocking_gap_ledger,0
P175_RECEIVE_FLOW_REGIME_STATE,P177_P175_RECEIVE_FLOW_REGIME_STATE_SCHEMA_AND_NULL_RATES,schema_and_null_rates,required feature columns must exist with null rates below predeclared thresholds,pass_or_emit_blocking_gap_ledger,0
