horizon,trade_date,expected_symbols,observed_symbols,coverage_pass,rows,partitions
15s,2026-07-08,32,32,1,18688,32
15s,2026-07-09,32,32,1,27492,32
15s,2026-07-10,32,32,1,48085,32
15s,2026-07-13,32,32,1,48096,32
15s,2026-07-14,32,32,1,48081,32
1s,2026-07-08,32,32,1,135666,32
1s,2026-07-09,32,32,1,222167,32
1s,2026-07-10,32,32,1,335771,32
1s,2026-07-13,32,32,1,363819,32
1s,2026-07-14,32,32,1,370549,32
5s,2026-07-08,32,32,1,52467,32
5s,2026-07-09,32,32,1,79436,32
5s,2026-07-10,32,32,1,136471,32
5s,2026-07-13,32,32,1,137509,32
5s,2026-07-14,32,32,1,136919,32
60s,2026-07-08,32,32,1,4736,32
60s,2026-07-09,32,32,1,6943,32
60s,2026-07-10,32,32,1,12087,32
60s,2026-07-13,32,32,1,12091,32
60s,2026-07-14,32,32,1,12091,32
