horizon,trade_date,exchange,symbol,parquet_file,rows,columns,missing_required_columns,duplicate_bucket_rows,bucket_monotonic_violations,first_bucket_ms,last_bucket_ms,bucket_ms_null_rate,receive_event_count_null_rate,quote_churn_count_null_rate,depth_refresh_count_null_rate,stale_quote_duration_ms_null_rate,cross_symbol_arrival_count_null_rate,cross_symbol_arrival_share_null_rate,receive_event_rate_zscore_null_rate
15s,2026-07-08,NSE,ADANIPORTS,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504890000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,AXISBANK,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,BAJAJ-AUTO,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,BANKBEES,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504875000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,BHARTIARTL,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,BPCL,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,BRITANNIA,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,CIPLA,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,DRREDDY,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504890000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,2026-07-08,NSE,GOLDBEES,derived_real_l2_receive_flow_features_phase176\horizon=15s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\receive_flow_features.parquet,584,23,,0,0,1783496070000,1783504860000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
