thesis_id,feature_column,candidate_rows,tested_rows,total_signals,best_directional_precision,best_precision_lift,best_mean_net_edge_return,best_positive_label_days
F02_momentum_fade,momentum_3_event,0,24,1817822,0.5412298895678009,1.0244788996185827,0.003143012818805097,215
F04_mlofi_fade,mlofi_qty_event,0,24,1678948,0.4989234964834218,0.8550601425188206,-0.0002656941602143484,76
F06_microprice_fade,microprice_dev,0,24,2642451,0.40990158337149024,0.49213886852310706,-0.000630630277452756,69
F10_l5_imbalance_fade,l5_imbalance,0,24,2396399,0.4092863721535872,0.487707671059547,-0.0009894985445954288,83
F08_l1_imbalance_fade,l1_imbalance,0,24,2396301,0.40907879541618547,0.4874603215897084,-0.0009894985445954288,83
F07_l1_imbalance_follow,l1_imbalance,0,24,2396301,0.3938628662800289,0.4693289449622519,-0.0012019307001964908,67
F09_l5_imbalance_follow,l5_imbalance,0,24,2396399,0.3938387270937212,0.4693001805881208,-0.0012056018939361334,67
F05_microprice_follow,microprice_dev,0,24,2642451,0.388567616915676,0.4630190995560164,-0.0012638926892587243,76
F03_mlofi_follow,mlofi_qty_event,0,24,1678948,0.44977193168558394,0.6604617094899119,-0.001338302320287171,49
F01_momentum_follow,momentum_3_event,0,24,1817822,0.44659578295571817,0.5644569349568714,-0.001498772119477484,39
