label_candidate_id,thesis_id,feature_column,direction_multiplier,thesis,abs_threshold_quantile,abs_threshold_value,spread_quantile,spread_tick_limit,forward_horizon_events,label_scope,signals,baseline_observations,baseline_any_edge_rate,directional_precision,precision_lift_vs_baseline,mean_directional_forward_return,mean_retail_cost_hurdle_return,mean_net_edge_return,median_net_edge_return,annual_positive_label_days,candidate_for_replay
F02_momentum_fade_q98_sp50_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance,17839,1843716,0.5282977421685335,0.5412298895678009,1.0244788996185827,0.004293227628238832,0.0011502148094337354,0.003143012818805097,0.0005006585789715592,201,False
F02_momentum_fade_q98_sp75_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.75,5.0,1,native_full_year_forward_edge_label_mining_not_acceptance,27267,2302664,0.5498001445282508,0.5343822202662559,0.9719572204273901,0.004097018883244403,0.001143898330693311,0.002953120552551092,0.00044250707033024225,201,False
F02_momentum_fade_q98_sp50_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.5,4.0,3,native_full_year_forward_edge_label_mining_not_acceptance,16705,1796405,0.6801228008160743,0.5285243938940437,0.7771014194199506,0.0036474002821203512,0.0011501862439651008,0.002497214038155251,0.00044344201888452594,187,False
F02_momentum_fade_q98_sp75_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.75,5.0,3,native_full_year_forward_edge_label_mining_not_acceptance,25510,2243561,0.6966964571054676,0.5295962367698942,0.7601534805705531,0.003521111741453819,0.0011438756081280069,0.002377236133325812,0.0005371614609402601,191,False
F02_momentum_fade_q98_sp50_6e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.5,4.0,6,native_full_year_forward_edge_label_mining_not_acceptance,15285,1721784,0.7650291790375564,0.5250245338567223,0.6862804037320883,0.003465020225603986,0.001151305945224209,0.002313714280379777,0.0006932695521356393,188,False
F02_momentum_fade_q98_sp75_6e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.75,5.0,6,native_full_year_forward_edge_label_mining_not_acceptance,23452,2150337,0.7776264836627933,0.531383250895446,0.6833399608414994,0.0034475556446978057,0.001144563000689291,0.0023029926440085143,0.0009141413006790168,190,False
F02_momentum_fade_q98_sp75_12e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.75,5.0,12,native_full_year_forward_edge_label_mining_not_acceptance,20284,1962938,0.8392042947866922,0.5143955827253007,0.6129563277033145,0.002278029293953226,0.0011452672219581786,0.0011327620719950473,0.0005358349320924195,173,False
F02_momentum_fade_q95_sp50_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance,57347,1843716,0.5282977421685335,0.46513331124557517,0.8804378177660125,0.0022139019099561385,0.001120916827862085,0.0010929850820940532,-0.00032363348943865934,215,False
F02_momentum_fade_q95_sp75_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.75,5.0,1,native_full_year_forward_edge_label_mining_not_acceptance,81877,2302664,0.5498001445282508,0.4677870464232935,0.8508310721247125,0.0022080772887653737,0.0011177708100594283,0.0010903064787059458,-0.0003093726220680874,215,False
F02_momentum_fade_q98_sp50_12e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.98,0.013006646304000391,0.5,4.0,12,native_full_year_forward_edge_label_mining_not_acceptance,13363,1571748,0.8301916083239806,0.5111876075731497,0.615746536640081,0.0022360661072143135,0.0011519047727158898,0.0010841613344984241,0.0003997466039716278,165,False
F02_momentum_fade_q95_sp75_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.75,5.0,3,native_full_year_forward_edge_label_mining_not_acceptance,77470,2243561,0.6966964571054676,0.4800826126242416,0.689084331817645,0.0017851028060722578,0.0011181967232574334,0.0006669060828148242,-0.00030607431036052584,201,False
F02_momentum_fade_q95_sp50_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.5,4.0,3,native_full_year_forward_edge_label_mining_not_acceptance,54257,1796405,0.6801228008160743,0.4744088320401054,0.6975340798321505,0.0017719466523629243,0.0011213298822940674,0.0006506167700688571,-0.0003931197630417983,193,False
F02_momentum_fade_q95_sp75_6e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.75,5.0,6,native_full_year_forward_edge_label_mining_not_acceptance,71855,2150337,0.7776264836627933,0.49349384176466493,0.6346155283191995,0.0015882446387972464,0.0011186753935569444,0.0004695692452403023,-0.0001317169569537151,188,False
F02_momentum_fade_q95_sp50_6e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.5,4.0,6,native_full_year_forward_edge_label_mining_not_acceptance,50172,1721784,0.7650291790375564,0.49099099099099097,0.6417938092357226,0.001560500976948684,0.001121990930101036,0.00043851004684764813,-0.00021225282308277404,185,False
F02_momentum_fade_q90_sp75_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.9,0.006725309414563396,0.75,5.0,1,native_full_year_forward_edge_label_mining_not_acceptance,184381,2302664,0.5498001445282508,0.42456652258096006,0.7722197362193386,0.0013499051844118985,0.0011024971546688017,0.0002474080297430976,-0.0006002399225521285,183,False
F02_momentum_fade_q90_sp50_1e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.9,0.006725309414563396,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance,133123,1843716,0.5282977421685335,0.41803444934383993,0.7912857011803806,0.001322295145131802,0.0011045716342256606,0.00021772351090614184,-0.0006222701617309215,178,False
F02_momentum_fade_q90_sp75_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.9,0.006725309414563396,0.75,5.0,3,native_full_year_forward_edge_label_mining_not_acceptance,176011,2243561,0.6966964571054676,0.45126725034230813,0.6477243363877107,0.001074408588739713,0.0011027902327290509,-2.838164398933817e-05,-0.0005989147190996115,162,False
F02_momentum_fade_q95_sp75_12e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.75,5.0,12,native_full_year_forward_edge_label_mining_not_acceptance,63820,1962938,0.8392042947866922,0.4873863992478847,0.5807720507099738,0.0010720881841365024,0.0011186386760793365,-4.655049194283466e-05,-0.00036753130027428725,181,False
F02_momentum_fade_q90_sp50_3e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.9,0.006725309414563396,0.5,4.0,3,native_full_year_forward_edge_label_mining_not_acceptance,127106,1796405,0.6801228008160743,0.4445108806822652,0.6535744429519197,0.0010345298555526,0.0011048700042227562,-7.034014867015601e-05,-0.0006567173774410298,161,False
F02_momentum_fade_q95_sp50_12e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.95,0.00910506370341638,0.5,4.0,12,native_full_year_forward_edge_label_mining_not_acceptance,44724,1571748,0.8301916083239806,0.48003309185224935,0.5782196387426232,0.0009571677834683036,0.001121831933515701,-0.00016466415004739743,-0.0005709405341795069,180,False
F02_momentum_fade_q90_sp75_6e,F02_momentum_fade,momentum_3_event,-1,fade recent event momentum,0.9,0.006725309414563396,0.75,5.0,6,native_full_year_forward_edge_label_mining_not_acceptance,164980,2150337,0.7776264836627933,0.46715359437507575,0.6007429070248208,0.0008437365190380986,0.0011030681311071527,-0.0002593316120690541,-0.0005969053758494511,165,False
F04_mlofi_fade_q98_sp50_1e,F04_mlofi_fade,mlofi_qty_event,-1,fade multi-level order-flow imbalance,0.98,0.062254395796167955,0.5,4.0,1,native_full_year_forward_edge_label_mining_not_acceptance,15640,1843716,0.5282977421685335,0.45172634271099743,0.8550601425188206,0.0008901544118234499,0.0011558485720377983,-0.0002656941602143484,-0.0004104861420386836,49,False
