symbol,category,metric,real_value,synthetic_value,synthetic_to_real_ratio,lower_ratio_gate,upper_ratio_gate,calibration_gap,gap_direction,severity_ratio_to_nearest_gate
AXISBANK,L1 imbalance scale,median_abs_l1_imbalance,0.5495978552278821,0.0224089635854341,0.0407733825237412,0.25,4.0,True,synthetic_too_low,6.131451072386059
BAJAJ-AUTO,L1 imbalance scale,median_abs_l1_imbalance,0.5789473684210527,0.0,0.0,0.25,4.0,True,synthetic_too_low,
BHARTIARTL,L1 imbalance scale,median_abs_l1_imbalance,0.5478260869565217,0.0797720797720797,0.1456157011712567,0.25,4.0,True,synthetic_too_low,1.7168478260869569
BPCL,L1 imbalance scale,median_abs_l1_imbalance,0.6534859521331946,0.0528052805280528,0.0808055327825776,0.25,4.0,True,synthetic_too_low,3.093847554630594
BRITANNIA,L1 imbalance scale,median_abs_l1_imbalance,0.5420363329108576,0.0,0.0,0.25,4.0,True,synthetic_too_low,
HINDUNILVR,L1 imbalance scale,median_abs_l1_imbalance,0.6277653381101658,0.0730897009966777,0.116428379458968,0.25,4.0,True,synthetic_too_low,2.1472428042177265
INFY,L1 imbalance scale,median_abs_l1_imbalance,0.7581573896353166,0.1875,0.2473101265822785,0.25,4.0,True,synthetic_too_low,1.0108765195137555
KOTAKBANK,L1 imbalance scale,median_abs_l1_imbalance,0.6708571428571428,0.1505681818181818,0.2244414975995044,0.25,4.0,True,synthetic_too_low,1.1138760107816712
LT,L1 imbalance scale,median_abs_l1_imbalance,0.5492957746478874,0.0903954802259887,0.1645661306678255,0.25,4.0,True,synthetic_too_low,1.5191461267605642
MARUTI,L1 imbalance scale,median_abs_l1_imbalance,0.592948717948718,0.1326530612244898,0.2237175951461666,0.25,4.0,True,synthetic_too_low,1.1174802761341223
ONGC,L1 imbalance scale,median_abs_l1_imbalance,0.6120805369127517,0.0476190476190476,0.0777986633249791,0.25,4.0,True,synthetic_too_low,3.2134228187919467
SBIN,L1 imbalance scale,median_abs_l1_imbalance,0.6489188956738625,0.0476190476190476,0.0733821251569476,0.25,4.0,True,synthetic_too_low,3.4068242022877793
TCS,L1 imbalance scale,median_abs_l1_imbalance,0.6826086956521739,0.0071770334928229,0.01051412549904,0.25,4.0,True,synthetic_too_low,23.777536231884092
