phase290_variant_id,adaptive_family,primary_pressure_column,interaction_column,spread_state,market_bucket,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,annualized_above12_but_too_sparse,positive_but_below12,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,full_depth_positive_clue,same_adaptive_route_exhausted_for_acceptance
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_INV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,13,12,1,1,0,0,0,0,9.596232178944769,14.39434826841715,38.38492871577907,152.321145697536,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_INV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,13,12,1,1,0,0,0,0,9.596232178944769,14.39434826841715,38.38492871577907,152.321145697536,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_INV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,INV,13,12,1,1,0,0,0,0,9.592777831777251,14.389166747665877,38.37111132710901,152.26631479011513,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_INV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,13,12,1,1,0,0,0,0,9.592777831777251,14.389166747665877,38.37111132710901,152.26631479011513,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_NOTWIDE_OPEN_INV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,13,12,1,1,0,0,0,0,9.592777831777251,14.389166747665877,38.37111132710901,152.26631479011513,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_NOTWIDE_OPEN_INV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,13,12,1,1,0,0,0,0,9.592777831777251,14.389166747665877,38.37111132710901,152.26631479011513,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_ANYSPREAD_OPEN_INV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,INV,13,12,1,1,0,0,0,0,9.59274911442138,14.38912367163207,38.37099645768552,152.2658589590695,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_ANYSPREAD_OPEN_INV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,PRESSURE_SIGN_REV,13,12,1,1,0,0,0,0,9.59274911442138,14.38912367163207,38.37099645768552,152.2658589590695,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_ANYSPREAD_OPEN_PRESSURE_SIGN_REV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_NOTWIDE_OPEN_INV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,13,12,1,1,0,0,0,0,9.59274911442138,14.38912367163207,38.37099645768552,152.2658589590695,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_NOTWIDE_OPEN_INV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,13,12,1,1,0,0,0,0,9.59274911442138,14.38912367163207,38.37099645768552,152.2658589590695,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P65_S65_I55_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H13_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_INV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,INV,10,12,1,1,0,0,0,0,7.140982820541444,10.711474230812165,28.563931282165772,113.348933659388,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_INV_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,NOTWIDE,OPEN,PRESSURE_SIGN_REV,10,12,1,1,0,0,0,0,7.140982820541444,10.711474230812165,28.563931282165772,113.348933659388,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P75_S50_I40_NOTWIDE_OPEN_PRESSURE_SIGN_REV_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_INV_H10,exhaustion_reversal_adaptive,depth_withdrawal_pressure,churn_withdraw_interaction,ANYSPREAD,OPEN,INV,10,12,1,1,0,0,0,0,7.13752847337393,10.706292710060895,28.55011389349572,113.29410275196712,P271_P290_P290_EXHAUSTION_REVERSAL_ADAPTIVE_P45_S45_I70_ANYSPREAD_OPEN_INV_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.0,0,0,1,1,0,0,1,0,1,1,1,1
