strategy_family_id,latency_profile_id,split_role,control_name,dry_decision_events,gross_return_bps_proxy_mean,cost_bound_bps_mean,net_return_bps_after_cost_proxy_mean,net_positive_event_fraction,promotion_allowed,test_rows_used
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,train,actual_time_order,223455,5.074013966806117,14.700398387281036,-9.626384420474919,0.0029983665615000783,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_time_negative_control,223455,0.6344132196841349,14.700398387281036,-14.0659851675969,0.003419032914904567,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_symbol_negative_control,223455,0.4448892062657714,14.700398387281036,-14.255509181015263,0.0015260343245843682,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,validation,actual_time_order,114425,0.219508619781252,14.777486632739384,-14.55797801295813,0.004072536596023597,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_time_negative_control,114425,0.8685173974325067,14.777486632739384,-13.908969235306875,0.0032248197509285557,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_RETAIL_MARKETABLE_DEFAULT,validation,shuffled_symbol_negative_control,114425,-0.8829954293860199,14.777486632739384,-15.660482062125402,0.001206030150753769,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,train,actual_time_order,223455,5.074013966806117,17.886522211704694,-12.812508244898579,0.0021838848985254304,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,train,shuffled_time_negative_control,223455,0.6344132196841349,17.886522211704694,-17.25210899202056,0.002653778165626189,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,train,shuffled_symbol_negative_control,223455,0.4448892062657714,17.886522211704694,-17.441633005438923,0.001217247320489584,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,validation,actual_time_order,114425,0.219508619781252,17.94905601040423,-17.729547390622976,0.00305877212147695,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,validation,shuffled_time_negative_control,114425,0.8685173974325067,17.94905601040423,-17.08053861297172,0.002184837229626393,0,0
P179_SOURCE_QUALITY_REGIME_FILTER,P180_STRESSED_RETAIL,validation,shuffled_symbol_negative_control,114425,-0.8829954293860199,17.94905601040423,-18.832051439790252,0.0008739348918505571,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,actual_time_order,220402,1.6954370823675282,14.774087560980796,-13.078650478613268,0.003162403244979628,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_time_negative_control,220402,-0.5128720498068327,14.774087560980796,-15.28695961078763,0.0035208391938367166,0,0
P179_LIQUIDITY_CHURN_CONTEXT,P180_RETAIL_MARKETABLE_DEFAULT,train,shuffled_symbol_negative_control,220402,0.1414327806084655,14.774087560980796,-14.63265478037233,0.0015880073683541892,0,0
