phase215_interpretation_id,split_role,horizon_sec,label_name,total_rows,event_surprise_rows,event_surprise_share,positive_rate,sparse_event_surprise_partitions,event_density_pass,positive_rate_interpretation_pass,train_validation_scope_pass,interpretation_pass,verdict,model_fit_allowed_next,strategy_replay_allowed,test_replay_allowed_next,profitability_claim_allowed
P215_train_H1s_event_surprise_up_conditional_label,train,1,event_surprise_up_conditional_label,693503,52764,0.07608330461439965,0.0118329625585456,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H1s_event_surprise_down_conditional_label,train,1,event_surprise_down_conditional_label,693503,52764,0.07608330461439965,0.011694128396336,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H1s_event_surprise_vol_expansion_conditional_label,train,1,event_surprise_vol_expansion_conditional_label,693503,52764,0.07608330461439965,0.0235503674385619,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H5s_event_surprise_up_conditional_label,train,5,event_surprise_up_conditional_label,268273,25922,0.09662545243091925,0.0289357132736561,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H5s_event_surprise_down_conditional_label,train,5,event_surprise_down_conditional_label,268273,25922,0.09662545243091925,0.0292557115308732,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H5s_event_surprise_vol_expansion_conditional_label,train,5,event_surprise_vol_expansion_conditional_label,268273,25922,0.09662545243091925,0.053489501820394,32,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H15s_event_surprise_up_conditional_label,train,15,event_surprise_up_conditional_label,94169,1792,0.01902961696524334,0.0085787634062528,53,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_train_H15s_event_surprise_down_conditional_label,train,15,event_surprise_down_conditional_label,94169,1792,0.01902961696524334,0.0080948700139677,53,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_train_H15s_event_surprise_vol_expansion_conditional_label,train,15,event_surprise_vol_expansion_conditional_label,94169,1792,0.01902961696524334,0.0130642535879869,53,1,1,1,1,label_interpretable_for_event_only_precommit_not_model_fit,0,0,0,0
P215_train_H60s_event_surprise_up_conditional_label,train,60,event_surprise_up_conditional_label,23670,285,0.012040557667934094,0.0057207472435269,72,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_train_H60s_event_surprise_down_conditional_label,train,60,event_surprise_down_conditional_label,23670,285,0.012040557667934094,0.0056791088498436,72,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
P215_train_H60s_event_surprise_vol_expansion_conditional_label,train,60,event_surprise_vol_expansion_conditional_label,23670,285,0.012040557667934094,0.0084431440062036,72,1,0,1,0,label_positive_rate_outside_event_surprise_interpretation_band,0,0,0,0
